"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Apr-2020","EQ","91.00","92.45","89.15","89.95","89.55","89.70","90.51","209.95","73.40",3489867,"315,874,378.50",23649
"24-Apr-2020","EQ","93.00","93.50","89.55","93.25","89.75","89.95","91.55","217.50","73.40",2644092,"242,077,895.95",22342
"23-Apr-2020","EQ","94.35","96.25","92.85","94.35","93.55","93.25","94.79","217.50","73.40",3973978,"376,690,475.70",21706
"22-Apr-2020","EQ","91.10","95.35","89.95","91.95","94.20","94.35","93.83","217.50","73.40",6239144,"585,392,862.55",39960
"21-Apr-2020","EQ","95.50","95.50","91.25","97.35","91.65","91.95","92.37","217.50","73.40",3326415,"307,275,048.75",23558
"20-Apr-2020","EQ","101.00","101.70","95.60","98.20","97.10","97.35","99.60","217.50","73.40",7370479,"734,076,289.50",45452
"17-Apr-2020","EQ","98.00","99.50","95.00","94.00","98.70","98.20","96.98","221.25","73.40",8133307,"788,735,791.90",52238
"16-Apr-2020","EQ","88.75","96.00","88.70","88.15","94.20","94.00","93.84","221.25","73.40",15986544,"1,500,158,769.80",83614
"15-Apr-2020","EQ","87.50","89.90","86.00","85.80","87.90","88.15","88.20","221.25","73.40",6059059,"534,409,561.85",42441
"13-Apr-2020","EQ","92.70","92.70","85.05","89.80","85.75","85.80","87.58","221.25","73.40",9360109,"819,747,103.65",48081
"09-Apr-2020","EQ","84.90","90.80","84.50","83.40","89.50","89.80","89.12","225.00","73.40",8140116,"725,439,813.20",50154
"08-Apr-2020","EQ","83.50","87.15","82.00","83.50","83.15","83.40","84.34","225.00","73.40",2950752,"248,872,037.05",19408
"07-Apr-2020","EQ","80.50","84.20","79.60","78.45","83.65","83.50","81.73","225.00","73.40",2423064,"198,042,437.70",16458
"03-Apr-2020","EQ","79.50","79.50","76.45","77.90","78.50","78.45","78.41","227.65","73.40",3754206,"294,369,445.20",22030
"01-Apr-2020","EQ","79.40","79.75","76.80","79.40","78.00","77.90","77.78","227.65","73.40",4215118,"327,869,860.85",31948
"31-Mar-2020","EQ","82.85","82.85","78.60","81.60","79.80","79.40","79.77","227.65","73.40",5591430,"446,029,199.65",55773
"30-Mar-2020","EQ","79.00","83.30","77.00","82.60","80.40","81.60","80.09","227.65","73.40",3774010,"302,262,840.20",71891
"27-Mar-2020","EQ","84.00","85.90","78.80","82.40","82.85","82.60","82.17","227.65","73.40",4871515,"400,304,707.95",100873
"26-Mar-2020","EQ","82.00","86.75","79.30","80.85","82.20","82.40","83.52","227.65","73.40",4185044,"349,524,539.50",57831
"25-Mar-2020","EQ","75.00","82.65","74.95","78.55","80.25","80.85","79.28","227.65","73.40",2569861,"203,747,970.70",15613
"24-Mar-2020","EQ","77.00","81.20","73.40","76.45","78.50","78.55","78.46","227.65","73.40",2703847,"212,136,889.65",18766
"23-Mar-2020","EQ","83.00","83.90","75.80","88.85","77.00","76.45","79.22","227.65","75.80",1468284,"116,312,106.65",20353
"20-Mar-2020","EQ","87.15","92.75","84.75","86.20","88.50","88.85","88.20","227.65","83.65",6206412,"547,401,779.35",35148
"19-Mar-2020","EQ","86.00","91.35","83.65","89.40","86.20","86.20","87.55","227.65","83.65",4347529,"380,619,792.70",34213
"18-Mar-2020","EQ","96.80","97.70","88.00","93.60","88.70","89.40","91.71","227.65","88.00",4290015,"393,446,305.95",41363
"17-Mar-2020","EQ","97.00","101.50","92.50","97.60","92.50","93.60","97.90","227.65","88.00",3631679,"355,542,837.35",27111
"16-Mar-2020","EQ","101.70","102.30","96.70","104.15","97.00","97.60","99.57","227.65","88.00",4868452,"484,743,407.15",30524
"13-Mar-2020","EQ","90.15","105.20","88.00","100.15","103.30","104.15","99.62","235.00","88.00",5393173,"537,267,692.80",60673
"12-Mar-2020","EQ","104.00","107.95","96.70","115.00","100.15","100.15","100.36","235.00","96.70",11277969,"1,131,856,831.70",53168
"11-Mar-2020","EQ","126.40","127.35","114.10","126.75","114.10","115.00","118.52","235.00","114.10",9176088,"1,087,544,128.20",86876
"09-Mar-2020","EQ","132.65","133.00","125.35","135.30","126.20","126.75","129.32","235.00","125.35",3080810,"398,414,036.35",18698
"06-Mar-2020","EQ","135.00","136.50","131.25","139.25","134.20","135.30","134.70","235.00","131.25",4712533,"634,759,538.25",39577
"05-Mar-2020","EQ","140.65","142.65","138.65","139.95","139.20","139.25","140.21","235.00","134.55",3841282,"538,578,493.10",19938
"04-Mar-2020","EQ","138.95","140.65","136.50","141.75","139.60","139.95","138.88","235.00","134.55",4106501,"570,292,454.80",21531
"03-Mar-2020","EQ","138.00","142.90","136.55","136.30","141.30","141.75","139.66","235.00","134.55",4006039,"559,483,863.45",31272
"02-Mar-2020","EQ","145.00","145.80","134.55","142.80","136.75","136.30","139.68","235.00","134.55",7509876,"1,048,993,338.00",45292
"28-Feb-2020","EQ","146.00","147.00","141.00","150.30","142.70","142.80","144.57","235.00","141.00",6020812,"870,423,692.10",47087
"27-Feb-2020","EQ","149.55","151.70","145.50","148.70","150.15","150.30","148.95","235.00","144.05",5186981,"772,593,597.10",29297
"26-Feb-2020","EQ","153.70","158.00","146.40","154.40","149.00","148.70","152.19","235.00","144.05",8017307,"1,220,165,530.20",44817
"25-Feb-2020","EQ","152.90","155.70","150.30","151.95","154.50","154.40","153.35","235.00","144.05",2419330,"371,001,868.05",16809
"24-Feb-2020","EQ","157.95","157.95","151.50","158.00","151.70","151.95","154.89","235.00","144.05",2427071,"375,931,097.90",19420
"20-Feb-2020","EQ","150.60","159.20","149.75","150.80","158.35","158.00","156.11","235.00","144.05",6419252,"1,002,094,256.40",37095
"19-Feb-2020","EQ","152.10","153.15","150.35","151.35","150.60","150.80","151.21","235.00","144.05",3867262,"584,786,085.30",21563
"18-Feb-2020","EQ","154.90","154.90","150.35","154.45","151.20","151.35","151.60","235.00","144.05",3980792,"603,474,984.95",14580
"17-Feb-2020","EQ","159.30","159.30","153.35","159.05","154.45","154.45","155.57","235.00","144.05",2621877,"407,890,564.70",21412
"14-Feb-2020","EQ","161.80","163.25","158.30","161.25","159.05","159.05","160.87","235.00","144.05",1605188,"258,231,099.15",11203
"13-Feb-2020","EQ","162.10","162.55","160.00","161.95","161.55","161.25","161.13","235.00","144.05",1501341,"241,905,358.80",13545
"12-Feb-2020","EQ","161.70","162.70","160.25","161.40","161.85","161.95","161.55","235.00","144.05",1714945,"277,044,469.85",13290
"11-Feb-2020","EQ","163.20","164.50","160.75","162.10","161.35","161.40","162.15","235.00","144.05",1568825,"254,381,039.80",12397
"10-Feb-2020","EQ","163.60","164.45","159.65","164.00","162.10","162.10","161.51","235.00","144.05",3784007,"611,166,817.55",26317
"07-Feb-2020","EQ","165.10","166.70","163.50","165.10","164.05","164.00","164.55","235.00","144.05",2268574,"373,297,701.60",16234
"06-Feb-2020","EQ","169.90","170.80","163.20","168.40","164.70","165.10","166.65","235.00","144.05",5431485,"905,165,193.10",35949
"05-Feb-2020","EQ","162.55","169.60","161.50","161.55","167.80","168.40","165.16","235.00","144.05",12937250,"2,136,665,609.40",106848
"04-Feb-2020","EQ","163.50","165.15","160.50","161.05","162.15","161.55","162.84","235.00","144.05",3108857,"506,251,911.85",17468
"03-Feb-2020","EQ","164.25","170.70","159.60","165.60","161.45","161.05","165.10","235.00","144.05",3345011,"552,256,847.90",23472
"01-Feb-2020","EQ","167.00","169.65","163.20","166.50","165.00","165.60","167.14","235.00","144.05",2237372,"373,960,261.60",17997
"31-Jan-2020","EQ","172.00","172.30","165.50","171.45","166.50","166.50","167.55","235.00","144.05",2059074,"344,997,141.05",11354
"30-Jan-2020","EQ","175.00","175.50","170.10","174.20","170.90","171.45","171.66","235.00","144.05",1195534,"205,221,808.60",27461
"29-Jan-2020","EQ","174.55","175.80","173.50","173.90","174.40","174.20","174.59","235.00","144.05",1067364,"186,346,509.95",8142
"28-Jan-2020","EQ","175.25","177.05","172.85","174.75","173.50","173.90","174.92","235.00","144.05",1206153,"210,977,872.15",12219
"27-Jan-2020","EQ","177.00","178.35","174.05","177.50","174.25","174.75","176.19","235.00","144.05",1465065,"258,122,595.70",11619
"24-Jan-2020","EQ","175.50","178.85","174.75","175.15","177.20","177.50","177.47","235.00","144.05",1495711,"265,446,334.90",12270
"23-Jan-2020","EQ","175.55","177.20","174.70","174.25","175.00","175.15","175.62","235.00","144.05",2318536,"407,184,427.35",23385
"22-Jan-2020","EQ","175.50","175.50","173.35","174.85","174.60","174.25","174.30","235.00","144.05",1035978,"180,568,717.00",7062
"21-Jan-2020","EQ","173.30","175.80","171.95","174.00","174.65","174.85","173.94","235.00","144.05",1515394,"263,589,776.10",10608
"20-Jan-2020","EQ","180.00","180.20","173.15","180.00","174.15","174.00","175.59","235.00","144.05",2284994,"401,220,919.65",18124
"17-Jan-2020","EQ","177.00","182.35","176.85","176.00","179.90","180.00","179.87","235.00","144.05",6393789,"1,150,037,778.70",57346
"16-Jan-2020","EQ","175.95","177.10","174.15","176.00","175.80","176.00","175.80","235.00","144.05",1625739,"285,807,052.10",13956
"15-Jan-2020","EQ","174.30","176.65","172.70","173.65","175.65","176.00","174.84","235.00","144.05",1980997,"346,356,088.75",14126
"14-Jan-2020","EQ","171.50","175.50","171.05","170.55","173.50","173.65","173.31","235.00","144.05",3906967,"677,135,033.35",33426
"13-Jan-2020","EQ","169.40","171.00","168.05","168.65","170.65","170.55","169.44","235.00","144.05",2525447,"427,904,178.90",12403
"10-Jan-2020","EQ","165.35","169.50","165.25","165.35","168.05","168.65","167.97","235.00","144.05",2799088,"470,150,288.90",23194
"09-Jan-2020","EQ","164.55","166.90","163.10","162.40","165.50","165.35","165.17","235.00","144.05",2997881,"495,174,789.90",17334
"08-Jan-2020","EQ","159.80","162.85","159.00","161.25","162.30","162.40","160.98","235.00","144.05",1664694,"267,977,346.05",10561
"07-Jan-2020","EQ","162.50","165.40","158.45","160.50","161.30","161.25","161.92","235.00","144.05",2654726,"429,852,936.10",18995
"06-Jan-2020","EQ","164.55","164.55","160.00","165.15","160.65","160.50","162.18","235.00","144.05",2420889,"392,631,493.60",23900
"03-Jan-2020","EQ","169.80","169.80","164.00","170.35","164.80","165.15","166.35","237.50","144.05",2231107,"371,146,493.10",14759
"02-Jan-2020","EQ","163.70","170.90","163.35","163.35","170.05","170.35","167.42","237.50","144.05",2954927,"494,726,804.35",17851
"01-Jan-2020","EQ","164.50","164.95","163.00","163.90","163.40","163.35","163.70","237.50","144.05",642850,"105,236,182.90",5110
"31-Dec-2019","EQ","165.05","165.65","163.50","165.00","163.60","163.90","164.60","237.50","144.05",770298,"126,794,639.85",6460
"30-Dec-2019","EQ","164.55","166.50","164.25","163.65","164.85","165.00","165.39","237.50","144.05",1581502,"261,558,279.70",10375
"27-Dec-2019","EQ","162.10","164.50","161.65","161.20","164.40","163.65","162.96","237.50","144.05",1076433,"175,415,000.50",9139
"26-Dec-2019","EQ","163.10","164.10","161.00","163.10","161.10","161.20","162.28","237.50","144.05",1305674,"211,887,772.50",12090
"24-Dec-2019","EQ","163.65","164.60","161.60","163.60","163.60","163.10","163.05","237.50","144.05",1030346,"167,995,881.05",7861
"23-Dec-2019","EQ","163.75","164.80","163.20","163.50","163.65","163.60","163.87","237.50","144.05",624872,"102,400,256.10",5423
"20-Dec-2019","EQ","165.00","165.50","163.10","164.90","163.75","163.50","164.21","244.85","144.05",998404,"163,948,378.40",8112
"19-Dec-2019","EQ","164.40","166.20","163.60","164.55","165.00","164.90","165.08","244.85","144.05",1135000,"187,368,520.75",7861
"18-Dec-2019","EQ","166.00","166.50","163.55","165.40","164.85","164.55","164.99","244.85","144.05",2040202,"336,621,231.00",19300
"17-Dec-2019","EQ","165.30","167.60","165.00","164.35","165.50","165.40","166.00","244.85","144.05",1728569,"286,940,821.15",22929
"16-Dec-2019","EQ","167.50","168.40","163.35","166.80","164.25","164.35","165.97","244.85","144.05",2277535,"378,000,822.35",21882
"13-Dec-2019","EQ","165.45","169.40","165.20","165.50","166.80","166.80","167.17","244.85","144.05",2822701,"471,879,019.85",27054
"12-Dec-2019","EQ","164.10","166.50","163.55","164.10","165.05","165.50","164.99","244.85","144.05",1363824,"225,015,897.75",15414
"11-Dec-2019","EQ","161.00","166.15","159.25","162.60","163.45","164.10","163.14","244.85","144.05",6462347,"1,054,296,126.95",57073
"10-Dec-2019","EQ","170.00","171.85","161.00","170.05","161.30","162.60","165.90","244.85","144.05",3424810,"568,162,376.90",41606
"09-Dec-2019","EQ","173.70","173.70","168.60","173.90","169.75","170.05","171.17","244.85","144.05",2912380,"498,520,545.90",36070
"06-Dec-2019","EQ","177.00","177.50","171.20","173.25","173.40","173.90","174.05","244.85","144.05",10658225,"1,855,037,287.45",82050
"05-Dec-2019","EQ","170.85","174.20","169.00","170.10","173.50","173.25","171.89","244.85","144.05",2248253,"386,444,574.35",16937
"04-Dec-2019","EQ","166.00","170.60","165.15","166.30","170.10","170.10","168.61","244.85","144.05",1462104,"246,529,268.20",15592
"03-Dec-2019","EQ","169.00","169.75","164.60","168.05","166.70","166.30","166.79","244.85","144.05",1638809,"273,336,954.95",19335
"02-Dec-2019","EQ","169.00","169.00","166.25","168.05","168.50","168.05","167.63","244.85","144.05",1099589,"184,329,336.70",13629
"29-Nov-2019","EQ","171.00","172.80","167.30","171.35","167.80","168.05","169.28","244.85","144.05",2077562,"351,695,482.55",15556
"28-Nov-2019","EQ","171.75","172.75","169.40","171.75","171.70","171.35","171.35","244.85","144.05",2719784,"466,043,125.75",31672
"27-Nov-2019","EQ","169.40","172.50","168.00","168.40","171.40","171.75","170.32","244.85","144.05",2687302,"457,704,905.30",41475
"26-Nov-2019","EQ","172.80","173.50","167.70","170.25","168.50","168.40","170.04","244.85","144.05",4125715,"701,540,252.60",34454
"25-Nov-2019","EQ","168.00","171.10","167.00","167.90","170.80","170.25","169.64","244.85","144.05",2016912,"342,156,455.00",20395
"22-Nov-2019","EQ","165.00","168.40","162.50","165.45","167.65","167.90","166.76","244.85","144.05",2546788,"424,713,398.50",32278
"21-Nov-2019","EQ","167.60","169.50","164.80","167.65","165.20","165.45","166.30","244.85","144.05",1679699,"279,338,066.90",27029
"20-Nov-2019","EQ","167.95","170.75","166.50","167.90","167.35","167.65","169.02","244.85","144.05",2212021,"373,877,172.60",22928
"19-Nov-2019","EQ","169.90","169.95","167.50","169.15","167.65","167.90","168.52","244.85","144.05",1177120,"198,369,068.20",9248
"18-Nov-2019","EQ","168.65","170.25","167.10","167.90","169.65","169.15","168.82","244.85","144.05",2781990,"469,658,286.75",21874
"15-Nov-2019","EQ","164.00","169.60","163.85","162.70","168.35","167.90","167.63","244.85","144.05",4085824,"684,888,429.20",34942
"14-Nov-2019","EQ","163.00","165.15","161.90","163.60","163.00","162.70","163.39","244.85","144.05",2272057,"371,232,176.50",16861
"13-Nov-2019","EQ","167.00","167.20","162.85","166.25","163.30","163.60","165.10","244.85","144.05",1891558,"312,304,592.80",22530
"11-Nov-2019","EQ","165.00","168.20","163.65","165.15","166.40","166.25","166.15","244.85","144.05",1908437,"317,093,940.80",14899
"08-Nov-2019","EQ","167.00","168.80","164.50","167.00","164.85","165.15","167.13","244.85","144.05",2566305,"428,911,519.45",20574
"07-Nov-2019","EQ","168.40","169.70","166.00","168.50","167.25","167.00","167.53","244.85","144.05",4178035,"699,958,173.50",32101
"06-Nov-2019","EQ","178.00","178.60","167.15","179.85","167.90","168.50","171.85","244.85","144.05",6895790,"1,185,073,008.75",46306
"05-Nov-2019","EQ","185.40","187.65","177.95","185.55","179.30","179.85","183.09","244.85","144.05",8595442,"1,573,706,875.45",55040
"04-Nov-2019","EQ","189.75","190.65","184.80","189.20","185.00","185.55","187.17","244.85","144.05",2125782,"397,881,475.35",16488
"01-Nov-2019","EQ","191.40","196.75","188.10","190.30","188.80","189.20","192.47","244.85","144.05",4995111,"961,389,396.60",34821
