"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","1,815.05","1,842.80","1,814.00","1,821.65","1,830.00","1,827.55","1,829.95","1,916.70","1,291.25",2744934,"5,023,085,163.50",89557
"23-Apr-2020","EQ","1,807.00","1,845.40","1,801.05","1,813.00","1,825.00","1,821.65","1,829.40","1,916.70","1,291.25",2573566,"4,708,089,469.85",82305
"22-Apr-2020","EQ","1,717.10","1,822.00","1,712.25","1,726.00","1,816.90","1,813.00","1,792.43","1,916.70","1,291.25",3727806,"6,681,826,891.45",158539
"21-Apr-2020","EQ","1,710.00","1,753.95","1,700.00","1,730.45","1,723.00","1,726.00","1,734.61","1,916.70","1,291.25",1594930,"2,766,584,236.65",91790
"20-Apr-2020","EQ","1,758.25","1,758.65","1,705.65","1,756.25","1,730.00","1,730.45","1,728.52","1,916.70","1,291.25",1431055,"2,473,613,926.15",93708
"17-Apr-2020","EQ","1,763.00","1,783.70","1,727.10","1,743.10","1,758.00","1,756.25","1,750.68","1,916.70","1,291.25",1398782,"2,448,815,834.25",86311
"16-Apr-2020","EQ","1,691.00","1,752.30","1,684.75","1,718.20","1,735.00","1,743.10","1,733.77","1,916.70","1,291.25",1821296,"3,157,710,101.30",99763
"15-Apr-2020","EQ","1,703.65","1,736.75","1,683.80","1,680.85","1,718.25","1,718.20","1,717.81","1,916.70","1,291.25",2508280,"4,308,753,478.45",138621
"13-Apr-2020","EQ","1,646.00","1,703.65","1,602.85","1,651.35","1,664.50","1,680.85","1,651.58","1,916.70","1,291.25",2586216,"4,271,342,073.75",118296
"09-Apr-2020","EQ","1,640.00","1,678.90","1,618.95","1,608.95","1,644.05","1,651.35","1,653.37","1,916.70","1,291.25",1489546,"2,462,771,944.15",69005
"08-Apr-2020","EQ","1,623.80","1,687.80","1,600.00","1,623.80","1,608.00","1,608.95","1,642.03","1,916.70","1,291.25",2382216,"3,911,658,954.15",101146
"07-Apr-2020","EQ","1,540.00","1,635.00","1,538.00","1,520.90","1,625.20","1,623.80","1,597.81","1,916.70","1,291.25",2733614,"4,367,787,113.10",123428
"03-Apr-2020","EQ","1,615.10","1,616.00","1,517.25","1,603.20","1,522.00","1,520.90","1,536.04","1,916.70","1,291.25",2925847,"4,494,204,301.45",134230
"01-Apr-2020","EQ","1,650.05","1,655.00","1,584.25","1,666.50","1,604.80","1,603.20","1,611.63","1,916.70","1,291.25",1559456,"2,513,258,286.80",106082
"31-Mar-2020","EQ","1,625.00","1,690.00","1,601.80","1,594.95","1,656.00","1,666.50","1,662.50","1,916.70","1,291.25",2789179,"4,637,008,477.40",133986
"30-Mar-2020","EQ","1,591.15","1,619.50","1,559.05","1,604.15","1,596.00","1,594.95","1,596.64","1,916.70","1,291.25",1844011,"2,944,229,357.75",95707
"27-Mar-2020","EQ","1,664.80","1,665.25","1,550.20","1,616.95","1,618.00","1,604.15","1,604.38","1,916.70","1,291.25",2102479,"3,373,172,975.10",109022
"26-Mar-2020","EQ","1,605.00","1,650.00","1,574.00","1,593.15","1,617.05","1,616.95","1,611.37","1,916.70","1,291.25",2622119,"4,225,192,939.45",116060
"25-Mar-2020","EQ","1,446.55","1,605.35","1,446.00","1,524.85","1,580.05","1,593.15","1,542.05","1,916.70","1,291.25",2196424,"3,386,991,100.45",126127
"24-Mar-2020","EQ","1,556.55","1,598.00","1,453.25","1,498.45","1,536.00","1,524.85","1,536.00","1,916.70","1,291.25",3911847,"6,008,584,206.75",206985
"23-Mar-2020","EQ","1,578.60","1,650.00","1,490.75","1,742.95","1,499.95","1,498.45","1,552.46","1,916.70","1,291.25",2155326,"3,346,053,532.55",148588
"20-Mar-2020","EQ","1,610.00","1,757.40","1,570.55","1,601.20","1,737.30","1,742.95","1,680.17","1,916.70","1,291.25",3128644,"5,256,665,627.60",139102
"19-Mar-2020","EQ","1,540.00","1,653.95","1,431.20","1,618.20","1,603.00","1,601.20","1,535.64","1,916.70","1,291.25",4906647,"7,534,853,574.40",215886
"18-Mar-2020","EQ","1,732.00","1,758.55","1,608.00","1,731.60","1,620.00","1,618.20","1,654.66","1,916.70","1,291.25",3677445,"6,084,935,234.95",163026
"17-Mar-2020","EQ","1,699.00","1,779.80","1,670.00","1,683.40","1,720.00","1,731.60","1,740.41","1,916.70","1,291.25",2643191,"4,600,229,501.40",121360
"16-Mar-2020","EQ","1,777.00","1,777.00","1,678.15","1,797.70","1,683.45","1,683.40","1,724.63","1,916.70","1,291.25",2867373,"4,945,148,921.90",136830
"13-Mar-2020","EQ","1,785.00","1,843.75","1,669.85","1,843.35","1,797.75","1,797.70","1,776.34","1,916.70","1,291.25",3878660,"6,889,832,169.50",181105
"12-Mar-2020","EQ","1,864.95","1,874.80","1,815.00","1,882.85","1,852.95","1,843.35","1,842.17","1,916.70","1,291.25",6254349,"11,521,562,913.20",258794
"11-Mar-2020","EQ","1,874.95","1,905.00","1,851.50","1,867.15","1,882.90","1,882.85","1,878.83","1,916.70","1,291.25",3194206,"6,001,364,037.20",176355
"09-Mar-2020","EQ","1,888.00","1,915.90","1,848.00","1,877.45","1,864.00","1,867.15","1,872.91","1,916.70","1,291.25",3420762,"6,406,788,079.45",129045
"06-Mar-2020","EQ","1,840.00","1,884.40","1,835.00","1,874.45","1,882.00","1,877.45","1,868.09","1,916.70","1,291.25",1393659,"2,603,485,184.40",69406
"05-Mar-2020","EQ","1,854.00","1,882.00","1,852.10","1,847.95","1,877.00","1,874.45","1,871.41","1,916.70","1,291.25",2062439,"3,859,666,392.80",74924
"04-Mar-2020","EQ","1,804.05","1,857.45","1,804.05","1,800.55","1,840.00","1,847.95","1,841.76","1,916.70","1,291.25",3050469,"5,618,222,983.85",177363
"03-Mar-2020","EQ","1,780.05","1,818.00","1,767.00","1,786.80","1,804.05","1,800.55","1,798.61","1,916.70","1,291.25",1392463,"2,504,502,817.65",64533
"02-Mar-2020","EQ","1,815.10","1,837.45","1,769.25","1,797.95","1,785.10","1,786.80","1,813.71","1,916.70","1,291.25",1219296,"2,211,444,937.20",61230
"28-Feb-2020","EQ","1,820.00","1,842.10","1,783.15","1,843.80","1,810.00","1,797.95","1,805.79","1,916.70","1,291.25",2964119,"5,352,586,443.95",104123
"27-Feb-2020","EQ","1,829.85","1,852.00","1,810.45","1,826.65","1,843.10","1,843.80","1,830.02","1,916.70","1,291.25",1643273,"3,007,218,467.15",87976
"26-Feb-2020","EQ","1,826.00","1,845.00","1,820.00","1,826.10","1,825.00","1,826.65","1,832.53","1,916.70","1,291.25",1909619,"3,499,430,672.20",77766
"25-Feb-2020","EQ","1,838.40","1,843.55","1,820.20","1,818.95","1,828.90","1,826.10","1,831.68","1,916.70","1,291.25",897257,"1,643,488,476.05",50468
"24-Feb-2020","EQ","1,845.25","1,853.00","1,814.00","1,842.25","1,820.20","1,818.95","1,833.36","1,916.70","1,291.25",1310832,"2,403,233,356.70",70546
