"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","2,410.00","2,472.00","2,381.00","2,430.65","2,450.00","2,445.35","2,445.05","3,315.15","1,788.65",669287,"1,636,442,215.55",48857
"23-Apr-2020","EQ","2,379.70","2,446.95","2,368.00","2,379.70","2,425.00","2,430.65","2,413.27","3,315.15","1,788.65",1179212,"2,845,755,383.80",42715
"22-Apr-2020","EQ","2,323.25","2,412.10","2,296.10","2,323.25","2,372.10","2,379.70","2,372.42","3,315.15","1,788.65",712534,"1,690,431,076.50",47759
"21-Apr-2020","EQ","2,344.00","2,354.45","2,295.00","2,378.30","2,325.00","2,323.25","2,320.48","3,315.15","1,788.65",702627,"1,630,429,625.85",40959
"20-Apr-2020","EQ","2,410.00","2,415.00","2,351.70","2,379.15","2,377.00","2,378.30","2,377.57","3,315.15","1,788.65",427669,"1,016,812,480.70",32400
"17-Apr-2020","EQ","2,380.00","2,425.05","2,347.05","2,333.55","2,386.90","2,379.15","2,381.23","3,315.15","1,788.65",690554,"1,644,368,168.50",44460
"16-Apr-2020","EQ","2,330.00","2,365.00","2,264.50","2,335.15","2,330.05","2,333.55","2,319.71","3,315.15","1,788.65",944581,"2,191,152,923.15",59083
"15-Apr-2020","EQ","2,410.00","2,483.60","2,320.05","2,397.55","2,351.70","2,335.15","2,423.10","3,315.15","1,788.65",986750,"2,390,994,149.00",66243
"13-Apr-2020","EQ","2,430.15","2,430.15","2,321.75","2,435.95","2,400.05","2,397.55","2,366.13","3,315.15","1,788.65",654478,"1,548,580,923.10",35598
"09-Apr-2020","EQ","2,290.00","2,524.95","2,289.90","2,241.70","2,436.10","2,435.95","2,435.84","3,315.15","1,788.65",1788928,"4,357,538,270.05",84039
"08-Apr-2020","EQ","2,180.00","2,383.45","2,168.55","2,280.05","2,260.00","2,241.70","2,299.11","3,315.15","1,788.65",840875,"1,933,266,167.40",59866
"07-Apr-2020","EQ","2,065.00","2,303.55","2,065.00","2,033.75","2,270.00","2,280.05","2,175.07","3,315.15","1,788.65",1069884,"2,327,075,872.95",71355
"03-Apr-2020","EQ","2,051.10","2,056.30","1,957.55","2,051.10","2,020.00","2,033.75","2,011.09","3,315.15","1,788.65",692220,"1,392,115,954.60",82281
"01-Apr-2020","EQ","2,000.00","2,095.80","1,990.00","2,022.35","2,043.00","2,051.10","2,040.75","3,315.15","1,788.65",869738,"1,774,915,393.85",72764
"31-Mar-2020","EQ","2,037.35","2,048.40","1,930.30","1,986.70","2,010.00","2,022.35","2,007.87","3,315.15","1,788.65",762791,"1,531,586,507.60",61303
"30-Mar-2020","EQ","2,016.00","2,020.80","1,945.05","2,053.45","2,002.00","1,986.70","1,977.34","3,315.15","1,788.65",462909,"915,327,392.60",41646
"27-Mar-2020","EQ","2,149.00","2,167.00","2,007.15","2,106.85","2,058.65","2,053.45","2,059.82","3,315.15","1,788.65",938567,"1,933,281,333.00",88966
"26-Mar-2020","EQ","1,998.20","2,133.90","1,934.00","1,946.75","2,078.90","2,106.85","2,069.93","3,315.15","1,788.65",989242,"2,047,661,835.60",79278
"25-Mar-2020","EQ","1,917.00","1,989.00","1,866.60","1,937.15","1,925.00","1,946.75","1,928.14","3,315.15","1,788.65",606235,"1,168,905,884.80",57859
