"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","4,675.00","4,675.00","4,365.00","4,729.60","4,410.00","4,389.80","4,479.98","9,950.00","4,160.25",1022043,"4,578,733,515.20",130334
"23-Apr-2020","EQ","4,800.00","4,858.00","4,705.05","4,775.75","4,716.95","4,729.60","4,783.66","9,950.00","4,160.25",691838,"3,309,519,247.65",72982
"22-Apr-2020","EQ","4,585.00","4,815.65","4,485.00","4,595.05","4,747.00","4,775.75","4,639.06","9,950.00","4,160.25",792158,"3,674,867,302.65",91090
"21-Apr-2020","EQ","4,749.00","4,749.00","4,575.00","4,882.25","4,595.00","4,595.05","4,645.76","9,950.00","4,160.25",670944,"3,117,046,423.40",70720
"20-Apr-2020","EQ","5,085.80","5,090.00","4,720.45","4,999.70","4,869.40","4,882.25","4,979.51","9,950.00","4,160.25",903157,"4,497,280,587.75",84654
"17-Apr-2020","EQ","4,876.00","5,136.00","4,855.05","4,699.60","5,011.20","4,999.70","4,976.61","9,950.00","4,160.25",1352223,"6,729,484,311.25",154029
"16-Apr-2020","EQ","4,570.00","4,760.00","4,508.80","4,599.10","4,760.00","4,699.60","4,659.91","9,950.00","4,160.25",747354,"3,482,600,293.40",72162
"15-Apr-2020","EQ","4,551.00","4,664.25","4,480.00","4,491.40","4,606.00","4,599.10","4,580.93","9,950.00","4,160.25",983071,"4,503,380,664.35",100747
"13-Apr-2020","EQ","4,844.00","4,844.00","4,469.35","4,820.25","4,490.00","4,491.40","4,584.49","9,950.00","4,160.25",891709,"4,088,031,100.60",110561
"09-Apr-2020","EQ","4,705.00","4,848.00","4,662.00","4,608.50","4,824.00","4,820.25","4,769.64","9,950.00","4,160.25",864222,"4,122,031,291.15",89906
"08-Apr-2020","EQ","4,575.00","4,950.00","4,537.80","4,724.90","4,604.00","4,608.50","4,725.27","9,950.00","4,160.25",1113057,"5,259,493,341.55",158158
"07-Apr-2020","EQ","4,620.00","4,818.80","4,329.05","4,510.75","4,771.95","4,724.90","4,495.38","9,950.00","4,160.25",1130738,"5,083,092,581.65",201918
"03-Apr-2020","EQ","4,560.00","4,646.00","4,430.00","4,501.90","4,520.05","4,510.75","4,537.22","9,950.00","4,160.25",722316,"3,277,305,847.10",138917
"01-Apr-2020","EQ","4,560.00","4,667.70","4,460.00","4,591.20","4,491.00","4,501.90","4,561.23","9,950.00","4,160.25",757772,"3,456,370,944.60",122754
"31-Mar-2020","EQ","4,810.00","4,879.55","4,430.00","4,661.15","4,600.00","4,591.20","4,562.22","9,950.00","4,160.25",1156179,"5,274,737,401.25",201921
"30-Mar-2020","EQ","4,700.00","4,779.60","4,555.00","4,890.60","4,640.00","4,661.15","4,677.54","9,950.00","4,160.25",750912,"3,512,417,674.65",115533
"27-Mar-2020","EQ","5,477.00","5,660.00","4,675.00","5,147.25","5,025.00","4,890.60","5,126.70","9,950.00","4,160.25",1291819,"6,622,773,281.15",200043
"26-Mar-2020","EQ","4,975.00","5,554.80","4,825.20","4,830.30","5,135.00","5,147.25","5,175.19","9,950.00","4,160.25",1019124,"5,274,161,874.75",150906
"25-Mar-2020","EQ","4,450.00","4,920.00","4,400.05","4,497.75","4,902.00","4,830.30","4,698.82","9,950.00","4,160.25",797273,"3,746,241,047.45",135939
