"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","47.65","48.00","46.10","48.45","46.40","46.35","47.09","144.00","46.10",18988577,"894,118,168.40",65730
"23-Apr-2020","EQ","48.60","49.20","48.00","48.30","48.35","48.45","48.58","144.00","46.50",16711767,"811,813,124.90",59246
"22-Apr-2020","EQ","48.50","48.75","47.00","48.55","48.50","48.30","47.85","144.00","46.50",26228382,"1,255,082,134.50",75211
"21-Apr-2020","EQ","49.80","50.00","48.40","51.20","48.45","48.55","48.96","144.00","46.50",23452461,"1,148,138,478.20",64444
"20-Apr-2020","EQ","51.00","53.20","49.65","50.20","51.15","51.20","51.51","144.00","46.50",47815278,"2,463,176,245.30",128289
"17-Apr-2020","EQ","51.25","52.35","49.05","49.60","50.20","50.20","50.52","144.00","46.50",35113747,"1,773,837,834.35",96344
"16-Apr-2020","EQ","49.15","50.20","48.25","48.95","49.70","49.60","49.36","144.00","46.50",19193391,"947,394,663.70",54357
"15-Apr-2020","EQ","50.20","51.90","48.50","49.85","49.05","48.95","50.38","144.00","46.50",20243132,"1,019,830,785.20",57550
"13-Apr-2020","EQ","50.90","51.20","48.70","50.90","49.65","49.85","49.61","144.00","46.50",14157206,"702,312,073.10",50041
"09-Apr-2020","EQ","49.00","51.90","48.80","48.35","50.70","50.90","50.30","144.00","46.50",26081928,"1,311,878,189.40",79886
"08-Apr-2020","EQ","48.00","51.50","47.30","48.15","48.45","48.35","49.34","144.00","46.50",27159204,"1,340,103,716.35",77070
"07-Apr-2020","EQ","50.25","50.90","47.70","48.70","48.00","48.15","48.55","144.00","46.50",25467272,"1,236,527,185.40",79757
"03-Apr-2020","EQ","51.25","51.30","48.50","51.25","48.60","48.70","49.48","144.00","46.50",20739757,"1,026,200,403.10",66487
"01-Apr-2020","EQ","54.00","54.35","50.80","53.55","51.25","51.25","51.75","144.00","46.50",16340613,"845,610,600.50",62068
"31-Mar-2020","EQ","53.40","56.20","51.60","52.45","56.00","53.55","52.55","144.00","46.50",22322052,"1,173,014,114.40",67696
"30-Mar-2020","EQ","52.10","53.85","51.30","54.35","52.30","52.45","52.57","144.00","46.50",18353478,"964,872,447.90",55104
"27-Mar-2020","EQ","57.30","61.50","53.35","55.95","53.80","54.35","57.01","144.00","46.50",38984067,"2,222,455,297.55",121811
"26-Mar-2020","EQ","59.20","60.05","54.75","58.20","55.80","55.95","57.39","144.00","46.50",30819558,"1,768,727,104.85",99986
"25-Mar-2020","EQ","53.10","59.95","52.80","55.40","59.20","58.20","57.20","144.00","46.50",24727759,"1,414,497,610.65",116041
"24-Mar-2020","EQ","55.05","56.90","51.70","53.85","55.90","55.40","54.78","144.00","46.50",19142565,"1,048,644,433.15",84952
"23-Mar-2020","EQ","57.50","60.95","52.90","63.25","53.45","53.85","55.13","144.00","46.50",17303722,"953,974,233.45",70183
"20-Mar-2020","EQ","62.05","66.90","61.85","61.45","63.25","63.25","64.11","144.00","46.50",31616861,"2,027,107,289.25",95549
"19-Mar-2020","EQ","60.30","69.00","60.20","65.15","62.05","61.45","64.18","144.00","46.50",40171354,"2,578,196,314.15",100607
"18-Mar-2020","EQ","66.00","67.30","63.00","66.15","65.00","65.15","65.00","144.00","46.50",31395519,"2,040,582,022.85",83006
"17-Mar-2020","EQ","63.80","69.60","62.15","63.70","64.65","66.15","66.56","144.00","46.50",31265474,"2,081,082,550.20",82785
"16-Mar-2020","EQ","62.00","64.45","60.30","65.35","63.50","63.70","62.97","144.00","46.50",26404821,"1,662,776,984.95",68277
"13-Mar-2020","EQ","51.05","66.35","46.50","56.65","66.20","65.35","60.42","144.00","46.50",47239305,"2,854,012,440.80",115424
"12-Mar-2020","EQ","62.10","62.95","56.15","66.60","56.70","56.65","59.56","144.00","56.15",34996609,"2,084,416,112.45",86171
"11-Mar-2020","EQ","69.75","70.65","65.30","69.35","65.40","66.60","68.48","144.00","65.30",26739880,"1,831,082,107.85",59483
"09-Mar-2020","EQ","69.70","72.60","68.50","71.75","69.20","69.35","70.41","144.00","68.50",25784509,"1,815,499,510.90",63778
"06-Mar-2020","EQ","69.80","72.65","68.75","73.65","71.60","71.75","71.41","144.00","68.75",22864611,"1,632,771,149.25",43441
"05-Mar-2020","EQ","73.20","75.35","70.65","73.30","73.35","73.65","73.42","144.00","70.35",27590830,"2,025,666,855.15",59804
"04-Mar-2020","EQ","73.05","74.15","71.25","72.90","73.40","73.30","72.56","144.00","70.35",24339350,"1,766,000,829.70",49448
"03-Mar-2020","EQ","71.25","73.40","71.00","71.15","73.15","72.90","72.24","144.00","70.35",23348154,"1,686,720,334.25",52827
"02-Mar-2020","EQ","77.50","78.35","70.35","76.30","70.90","71.15","74.58","144.00","70.35",40961015,"3,054,986,333.15",68502
"28-Feb-2020","EQ","76.40","77.60","73.30","78.30","76.70","76.30","75.96","144.00","73.30",34963801,"2,655,693,287.15",75067
"27-Feb-2020","EQ","80.00","80.35","77.20","80.20","78.00","78.30","78.41","144.00","77.20",23401192,"1,834,963,933.40",48616
"26-Feb-2020","EQ","79.25","81.05","79.05","80.05","80.35","80.20","80.16","144.00","78.20",15584386,"1,249,208,051.80",29435
"25-Feb-2020","EQ","80.50","81.20","79.40","79.90","80.10","80.05","80.27","144.00","78.20",13755466,"1,104,153,090.50",29560
"24-Feb-2020","EQ","80.90","82.10","79.70","82.25","80.05","79.90","80.96","144.00","78.20",15685366,"1,269,888,175.40",32639
"20-Feb-2020","EQ","80.35","83.25","80.30","81.10","82.30","82.25","81.95","144.00","78.20",18131343,"1,485,824,633.70",39573
"19-Feb-2020","EQ","81.70","82.60","80.20","81.00","80.95","81.10","81.15","144.00","78.20",15937963,"1,293,357,800.05",35124
"18-Feb-2020","EQ","82.25","82.40","78.20","82.30","81.00","81.00","80.04","144.00","78.20",28227097,"2,259,219,972.90",78859
"17-Feb-2020","EQ","85.30","86.35","82.00","86.45","82.25","82.30","83.60","144.00","82.00",22256419,"1,860,628,375.10",55335
"14-Feb-2020","EQ","88.15","88.95","86.10","88.05","86.40","86.45","87.37","144.00","85.40",15401905,"1,345,666,523.85",32088
"13-Feb-2020","EQ","88.25","89.10","87.75","88.25","88.10","88.05","88.37","144.00","85.40",14891172,"1,315,943,678.50",28989
"12-Feb-2020","EQ","90.55","91.20","87.55","90.35","88.25","88.25","89.01","144.00","85.40",15597107,"1,388,347,138.85",38302
"11-Feb-2020","EQ","90.80","91.60","90.00","90.10","90.35","90.35","90.82","144.00","85.40",10892762,"989,252,932.75",24035
"10-Feb-2020","EQ","91.85","92.30","89.60","92.05","90.10","90.10","90.68","144.00","85.40",12920134,"1,171,660,926.20",31583
"07-Feb-2020","EQ","91.55","92.75","90.25","91.65","91.95","92.05","91.80","144.00","85.40",19744328,"1,812,590,013.10",40116
"06-Feb-2020","EQ","88.60","92.50","88.00","88.15","91.55","91.65","90.44","144.00","85.40",31183865,"2,820,404,378.30",65965
"05-Feb-2020","EQ","87.50","88.70","87.00","87.10","88.25","88.15","87.94","144.00","85.40",18282043,"1,607,771,623.10",36303
"04-Feb-2020","EQ","86.80","87.90","86.10","85.90","87.05","87.10","87.09","144.00","85.40",21444489,"1,867,646,566.70",45540
"03-Feb-2020","EQ","88.90","89.30","85.40","89.30","85.90","85.90","86.89","144.00","85.40",27702836,"2,407,108,237.80",79940
