"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","2,980.00","3,122.90","2,956.00","2,947.40","3,051.00","3,062.15","3,037.54","3,583.75","2,100.00",2613797,"7,939,514,416.55",155984
"23-Apr-2020","EQ","2,960.00","3,245.00","2,918.00","2,952.65","2,960.00","2,947.40","3,084.47","3,583.75","2,100.00",3426363,"10,568,504,981.70",196182
"22-Apr-2020","EQ","2,863.00","2,969.70","2,827.45","2,863.25","2,959.90","2,952.65","2,906.72","3,583.75","2,100.00",737395,"2,143,398,052.05",87508
"21-Apr-2020","EQ","2,779.90","2,906.35","2,733.15","2,833.00","2,860.00","2,863.25","2,857.80","3,583.75","2,100.00",1129799,"3,228,734,165.00",96324
"20-Apr-2020","EQ","2,860.10","2,864.80","2,801.00","2,832.15","2,825.00","2,833.00","2,843.53","3,583.75","2,100.00",667917,"1,899,241,487.70",95055
"17-Apr-2020","EQ","2,884.00","2,895.00","2,802.20","2,836.80","2,831.00","2,832.15","2,846.41","3,583.75","2,100.00",705271,"2,007,489,936.95",55520
"16-Apr-2020","EQ","2,837.50","2,893.95","2,815.00","2,837.35","2,835.00","2,836.80","2,859.28","3,583.75","2,100.00",675907,"1,932,607,642.50",66034
"15-Apr-2020","EQ","2,772.00","2,908.50","2,754.70","2,706.15","2,847.90","2,837.35","2,840.91","3,583.75","2,100.00",1011691,"2,874,123,948.00",93489
"13-Apr-2020","EQ","2,800.00","2,800.00","2,697.35","2,801.70","2,711.00","2,706.15","2,733.67","3,583.75","2,100.00",501533,"1,371,024,726.25",55682
"09-Apr-2020","EQ","2,850.00","2,850.00","2,732.90","2,775.55","2,803.90","2,801.70","2,793.35","3,583.75","2,100.00",893108,"2,494,767,483.05",67598
"08-Apr-2020","EQ","2,829.00","2,990.00","2,759.00","2,834.50","2,787.50","2,775.55","2,860.64","3,583.75","2,100.00",1037961,"2,969,232,895.70",81563
"07-Apr-2020","EQ","2,640.15","2,878.70","2,640.15","2,563.25","2,835.00","2,834.50","2,777.98","3,583.75","2,100.00",1062855,"2,952,595,030.15",101614
"03-Apr-2020","EQ","2,588.95","2,610.00","2,475.00","2,564.85","2,572.00","2,563.25","2,533.94","3,583.75","2,100.00",726903,"1,841,930,664.30",80839
"01-Apr-2020","EQ","2,700.00","2,780.00","2,505.00","2,688.95","2,563.55","2,564.85","2,620.38","3,583.75","2,100.00",1167150,"3,058,375,290.80",106869
"31-Mar-2020","EQ","2,579.95","2,710.00","2,490.00","2,473.75","2,687.20","2,688.95","2,620.17","3,583.75","2,100.00",734769,"1,925,218,759.95",71062
