"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","140.60","143.80","135.80","140.90","137.25","137.00","140.11","271.45","119.20",11701225,"1,639,472,248.20",74521
"23-Apr-2020","EQ","140.80","144.75","140.10","140.70","140.90","140.90","142.33","271.45","119.20",7553387,"1,075,062,243.25",57402
"22-Apr-2020","EQ","138.20","141.30","135.00","139.00","141.00","140.70","138.36","271.45","119.20",5604353,"775,413,217.40",54723
"21-Apr-2020","EQ","141.00","141.60","137.80","144.20","140.30","139.00","139.35","271.45","119.20",6501383,"905,977,756.15",50407
"20-Apr-2020","EQ","149.90","149.90","143.00","148.75","144.20","144.20","145.98","271.45","119.20",7139690,"1,042,284,176.70",61760
"17-Apr-2020","EQ","151.50","152.45","148.30","147.40","148.75","148.75","149.79","271.45","119.20",7094930,"1,062,743,307.25",49937
"16-Apr-2020","EQ","144.60","150.50","144.40","146.85","147.35","147.40","148.50","271.45","119.20",9736874,"1,445,938,134.60",65846
"15-Apr-2020","EQ","147.40","151.60","146.00","145.90","146.50","146.85","148.91","271.45","119.20",10487978,"1,561,774,564.60",85581
"13-Apr-2020","EQ","140.80","146.70","138.35","140.80","145.80","145.90","144.12","271.45","119.20",10691857,"1,540,944,041.30",57290
"09-Apr-2020","EQ","139.20","141.45","138.00","137.35","140.70","140.80","140.19","271.45","119.20",5078557,"711,956,757.90",36981
"08-Apr-2020","EQ","140.00","143.40","137.00","140.15","137.55","137.35","139.88","271.45","119.20",7070296,"989,009,124.95",55896
"07-Apr-2020","EQ","140.30","142.40","137.15","137.75","139.65","140.15","140.28","271.45","119.20",8205546,"1,151,084,098.35",54857
"03-Apr-2020","EQ","138.60","139.90","131.80","139.45","137.75","137.75","136.15","271.45","119.20",10937172,"1,489,127,522.60",105935
"01-Apr-2020","EQ","138.75","141.25","137.05","140.05","139.70","139.45","139.45","271.45","119.20",8833033,"1,231,750,811.80",62281
"31-Mar-2020","EQ","135.10","142.35","134.25","133.15","139.80","140.05","139.07","271.45","119.20",14997627,"2,085,768,784.40",89569
"30-Mar-2020","EQ","127.55","134.75","127.20","131.70","133.15","133.15","132.01","271.45","119.20",12357416,"1,631,253,116.80",91151
"27-Mar-2020","EQ","125.90","132.95","125.00","123.25","131.15","131.70","129.23","271.45","119.20",18334750,"2,369,461,297.75",116521
"26-Mar-2020","EQ","126.00","127.00","119.20","124.50","123.90","123.25","123.09","271.45","119.20",28364155,"3,491,454,802.70",153911
"25-Mar-2020","EQ","126.00","129.25","123.70","127.85","124.25","124.50","125.35","271.45","120.05",8344561,"1,045,974,832.65",59668
"24-Mar-2020","EQ","129.25","135.00","125.45","127.85","129.00","127.85","130.27","271.45","120.05",9991429,"1,301,573,569.45",62450
"23-Mar-2020","EQ","122.50","134.85","120.05","132.80","127.55","127.85","129.07","271.45","120.05",17885210,"2,308,399,429.50",94097
"20-Mar-2020","EQ","124.50","135.80","122.65","123.55","132.40","132.80","129.47","271.45","122.00",24023065,"3,110,263,943.30",104020
"19-Mar-2020","EQ","128.00","133.50","122.00","145.05","122.55","123.55","128.67","271.45","122.00",28555217,"3,674,246,655.70",184801
"18-Mar-2020","EQ","151.60","151.85","143.00","145.90","144.50","145.05","146.25","271.45","123.65",18744151,"2,741,303,585.05",99549
"17-Mar-2020","EQ","145.20","155.40","142.30","143.90","147.25","145.90","150.10","271.45","123.65",18990185,"2,850,382,834.90",108984
"16-Mar-2020","EQ","150.95","151.35","143.10","154.10","144.55","143.90","147.18","271.45","123.65",23548327,"3,465,831,208.00",92209
"13-Mar-2020","EQ","146.25","161.55","123.65","154.55","155.35","154.10","152.68","271.45","123.65",43328031,"6,615,288,856.05",175752
"12-Mar-2020","EQ","161.00","163.00","150.10","168.00","156.75","154.55","155.35","271.45","150.10",33250978,"5,165,547,039.30",206701
"11-Mar-2020","EQ","158.10","169.90","157.05","157.95","166.70","168.00","164.13","271.45","156.95",28399809,"4,661,236,210.75",148710
"09-Mar-2020","EQ","165.80","166.70","156.95","168.75","157.65","157.95","161.87","271.45","156.95",23967961,"3,879,674,592.45",101385
"06-Mar-2020","EQ","166.70","173.00","166.50","177.15","169.00","168.75","170.06","271.45","165.00",10629291,"1,807,642,581.55",71770
"05-Mar-2020","EQ","180.00","180.20","172.20","178.10","176.65","177.15","175.97","271.45","165.00",12349902,"2,173,263,255.85",61821
"04-Mar-2020","EQ","178.25","179.80","174.10","178.20","177.95","178.10","177.37","271.45","165.00",9858330,"1,748,570,147.10",78436
"03-Mar-2020","EQ","171.35","179.65","170.90","169.35","177.50","178.20","174.83","271.45","165.00",17015816,"2,974,805,106.35",73868
"02-Mar-2020","EQ","172.65","175.00","168.30","168.40","169.40","169.35","172.55","271.45","165.00",11962711,"2,064,201,433.60",63565
"28-Feb-2020","EQ","171.55","171.80","166.75","174.10","167.75","168.40","169.17","271.45","165.00",14694382,"2,485,912,296.95",105493
"27-Feb-2020","EQ","173.75","174.55","169.60","173.80","173.90","174.10","172.28","271.45","165.00",11500515,"1,981,352,779.90",60532
"26-Feb-2020","EQ","174.20","177.75","172.65","175.10","173.70","173.80","175.28","271.45","165.00",10925243,"1,915,011,271.55",77432
"25-Feb-2020","EQ","176.10","178.70","174.20","174.85","175.60","175.10","176.75","271.45","165.00",13534936,"2,392,321,679.60",59232
"24-Feb-2020","EQ","178.75","178.90","173.30","179.35","174.15","174.85","175.38","271.45","165.00",9952676,"1,745,544,602.80",60533
"20-Feb-2020","EQ","177.75","180.25","175.20","177.75","179.10","179.35","177.62","271.45","165.00",16776977,"2,979,895,474.80",88047
"19-Feb-2020","EQ","176.35","178.55","174.25","171.85","177.80","177.75","176.61","271.45","165.00",21092109,"3,725,009,570.15",113986
"18-Feb-2020","EQ","168.10","173.95","165.00","167.85","172.75","171.85","168.55","271.45","165.00",27643844,"4,659,466,954.50",91485
"17-Feb-2020","EQ","174.75","175.20","166.80","174.75","168.10","167.85","169.14","271.45","166.80",15997350,"2,705,724,746.40",97423
"14-Feb-2020","EQ","178.00","178.90","174.20","177.80","174.50","174.75","175.77","271.45","171.05",15392705,"2,705,546,377.35",93623
"13-Feb-2020","EQ","180.30","180.95","175.85","180.30","178.00","177.80","177.63","271.45","171.05",11781999,"2,092,799,023.20",65495
"12-Feb-2020","EQ","181.00","183.40","178.20","179.35","180.30","180.30","180.35","271.45","171.05",14669421,"2,645,607,116.25",83056
"11-Feb-2020","EQ","180.00","181.50","176.25","178.85","179.40","179.35","178.68","271.45","171.05",16397703,"2,930,009,836.55",82010
"10-Feb-2020","EQ","184.90","185.00","177.65","185.05","178.85","178.85","179.85","271.45","171.05",19665611,"3,536,955,925.15",96003
"07-Feb-2020","EQ","180.30","186.05","178.10","179.95","184.95","185.05","181.60","271.45","171.05",13470302,"2,446,196,173.10",71587
"06-Feb-2020","EQ","180.20","181.60","178.25","179.25","179.70","179.95","179.76","271.45","171.05",6917941,"1,243,553,499.05",54462
"05-Feb-2020","EQ","184.00","184.00","178.50","182.50","179.80","179.25","180.70","271.45","171.05",9468632,"1,711,011,520.90",55574
"04-Feb-2020","EQ","180.75","183.00","179.75","178.65","182.70","182.50","181.62","271.45","171.05",10043759,"1,824,101,299.65",61745
"03-Feb-2020","EQ","174.90","179.45","172.15","173.50","178.90","178.65","177.27","271.45","171.05",15284598,"2,709,445,652.40",92895
"01-Feb-2020","EQ","182.00","182.00","171.05","181.70","174.30","173.50","176.95","271.45","171.05",23303943,"4,123,717,682.00",122654
"31-Jan-2020","EQ","188.80","189.45","180.00","187.95","183.55","181.70","183.40","271.45","177.70",35281395,"6,470,659,021.05",146426
"30-Jan-2020","EQ","191.40","192.35","187.50","191.05","188.20","187.95","189.81","271.45","177.70",10859103,"2,061,122,861.25",55217
"29-Jan-2020","EQ","191.00","193.00","188.00","189.15","191.10","191.05","191.53","271.45","177.70",10602818,"2,030,752,998.95",60651
"28-Jan-2020","EQ","193.90","194.25","188.40","193.35","189.50","189.15","190.07","271.45","177.70",10274562,"1,952,889,525.20",55958
"27-Jan-2020","EQ","193.95","195.00","192.00","193.95","193.00","193.35","193.65","271.45","177.70",7195361,"1,393,377,601.30",33802
"24-Jan-2020","EQ","193.00","196.30","192.15","190.75","194.40","193.95","194.19","271.45","177.70",10626281,"2,063,466,178.60",63929
"23-Jan-2020","EQ","192.05","195.20","189.85","191.90","191.40","190.75","192.07","271.45","177.70",16369722,"3,144,130,599.50",71162
"22-Jan-2020","EQ","199.10","199.40","190.95","202.15","191.55","191.90","193.98","271.45","177.70",19096395,"3,704,388,205.50",105972
"21-Jan-2020","EQ","201.15","205.25","201.15","201.15","202.35","202.15","203.65","271.45","177.70",6347967,"1,292,769,079.30",43002
"20-Jan-2020","EQ","208.00","209.80","200.50","207.90","202.20","201.15","205.26","271.45","177.70",8110607,"1,664,808,518.20",45643
"17-Jan-2020","EQ","210.00","210.55","206.10","210.25","208.10","207.90","208.09","271.45","177.70",5985342,"1,245,494,975.25",41319
"16-Jan-2020","EQ","212.45","212.70","207.10","212.45","210.20","210.25","210.29","271.45","177.70",6937929,"1,458,985,085.90",48580
"15-Jan-2020","EQ","212.60","214.60","211.30","212.95","212.40","212.45","213.05","271.45","177.70",4863227,"1,036,104,173.50",31945
"14-Jan-2020","EQ","211.15","213.50","209.75","211.55","213.00","212.95","211.69","271.45","177.70",5417581,"1,146,822,954.25",31792
"13-Jan-2020","EQ","205.30","212.00","205.00","205.30","211.60","211.55","210.18","271.45","177.70",9863555,"2,073,104,016.90",55913
"10-Jan-2020","EQ","199.15","206.55","198.95","198.00","204.50","205.30","204.41","271.45","177.70",13533598,"2,766,454,309.25",79389
"09-Jan-2020","EQ","203.25","203.70","197.35","200.20","197.95","198.00","198.82","271.45","177.70",10321169,"2,052,103,333.65",60490
"08-Jan-2020","EQ","203.00","204.55","198.20","205.70","200.50","200.20","201.61","271.45","177.70",7295998,"1,470,923,022.75",45845
"07-Jan-2020","EQ","206.50","208.20","204.35","205.70","205.75","205.70","206.51","271.45","177.70",5243225,"1,082,764,694.15",44407
"06-Jan-2020","EQ","209.95","209.95","203.45","211.85","205.15","205.70","205.46","271.45","177.70",6853058,"1,408,031,161.25",54913
"03-Jan-2020","EQ","210.00","212.60","207.70","211.10","210.65","211.85","210.47","271.45","177.70",6452638,"1,358,096,399.70",43299
"02-Jan-2020","EQ","212.50","212.80","208.30","211.95","210.95","211.10","210.67","271.45","177.70",5958343,"1,255,216,017.40",45875
"01-Jan-2020","EQ","211.35","212.60","208.40","211.35","211.95","211.95","210.71","271.45","177.70",6447592,"1,358,556,960.60",48911
"31-Dec-2019","EQ","205.00","212.45","204.45","205.80","211.45","211.35","209.69","271.45","177.70",10534842,"2,209,056,488.75",87636
"30-Dec-2019","EQ","203.55","206.25","201.20","203.50","205.55","205.80","203.98","271.45","177.70",4696784,"958,061,529.35",31067
"27-Dec-2019","EQ","198.50","205.50","197.65","197.30","204.20","203.50","201.45","271.45","177.70",5046833,"1,016,692,029.80",31761
