"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","15.65","15.80","14.30","15.05","14.30","14.30","14.87","153.05","8.35",5619775,"83,547,193.60",12768
"23-Apr-2020","EQ","15.05","15.05","14.60","14.35","15.05","15.05","15.02","153.05","8.35",1524204,"22,888,342.55",3179
"22-Apr-2020","EQ","14.30","14.35","14.05","13.70","14.35","14.35","14.31","153.05","8.35",818958,"11,721,781.50",2345
"21-Apr-2020","EQ","13.70","13.70","12.40","13.05","13.70","13.70","13.46","153.05","8.35",4284915,"57,674,014.25",8972
"20-Apr-2020","EQ","13.05","13.05","13.05","12.45","13.05","13.05","13.05","153.05","8.35",179111,"2,337,398.55",698
"17-Apr-2020","EQ","12.45","12.45","12.45","11.90","12.45","12.45","12.45","176.45","8.35",801337,"9,976,645.65",1544
"16-Apr-2020","EQ","11.35","11.90","11.30","11.35","11.90","11.90","11.83","176.45","8.35",516947,"6,114,419.95",1866
"15-Apr-2020","EQ","11.25","11.35","10.95","10.85","11.35","11.35","11.22","176.45","8.35",1763153,"19,789,821.15",5083
"13-Apr-2020","EQ","10.80","10.90","9.90","10.40","10.90","10.85","10.53","176.45","8.35",3331388,"35,063,606.55",7995
"09-Apr-2020","EQ","9.75","10.40","9.50","9.95","10.40","10.40","10.16","176.45","8.35",1860373,"18,910,293.60",3281
"08-Apr-2020","EQ","9.95","9.95","9.95","9.50","9.95","9.95","9.95","176.45","8.35",307146,"3,056,102.70",600
"07-Apr-2020","EQ","9.50","9.50","9.50","9.05","9.50","9.50","9.50","176.45","8.35",387809,"3,684,185.50",757
"03-Apr-2020","EQ","9.00","9.05","8.65","8.65","9.05","9.05","8.97","176.45","8.35",746996,"6,701,049.75",2109
"01-Apr-2020","EQ","8.65","8.70","8.35","8.65","8.70","8.65","8.57","176.45","8.35",894697,"7,670,587.00",2933
"31-Mar-2020","EQ","8.60","9.00","8.40","8.75","8.75","8.65","8.66","176.45","8.40",1793509,"15,540,212.85",5231
"30-Mar-2020","EQ","9.25","9.30","8.70","9.10","8.80","8.75","8.84","176.45","8.60",1288709,"11,387,767.35",4634
"27-Mar-2020","EQ","9.15","9.35","8.85","8.95","9.20","9.10","9.16","176.45","8.60",2554393,"23,402,391.50",6680
"26-Mar-2020","EQ","8.60","9.50","8.60","9.05","9.00","8.95","9.16","176.45","8.60",5364041,"49,126,369.75",12352
"25-Mar-2020","EQ","9.05","9.05","9.05","9.50","9.05","9.05","9.05","176.45","9.05",299345,"2,709,072.25",1220
"24-Mar-2020","EQ","9.50","9.50","9.50","9.95","9.50","9.50","9.50","176.45","9.50",291133,"2,765,763.50",1767
"23-Mar-2020","EQ","9.95","9.95","9.95","10.45","9.95","9.95","9.95","176.45","9.55",261432,"2,601,248.40",1411
"20-Mar-2020","EQ","10.50","10.60","10.45","10.95","10.45","10.45","10.45","176.45","9.55",1427396,"14,920,183.40",3084
"19-Mar-2020","EQ","10.95","11.65","10.95","11.50","10.95","10.95","11.03","176.45","9.55",2858258,"31,529,626.55",5854
"18-Mar-2020","EQ","11.50","11.50","11.50","12.10","11.50","11.50","11.50","176.45","9.55",300633,"3,457,279.50",1323
"17-Mar-2020","EQ","12.10","12.10","12.10","12.70","12.10","12.10","12.10","176.45","9.55",321297,"3,887,693.70",1343
"16-Mar-2020","EQ","12.70","12.70","12.70","13.35","12.70","12.70","12.70","176.45","9.55",247852,"3,147,720.40",1279
"13-Mar-2020","EQ","13.35","13.35","13.35","14.05","13.35","13.35","13.35","176.45","9.55",262330,"3,502,105.50",1082
"12-Mar-2020","EQ","14.05","14.05","14.05","14.75","14.05","14.05","14.05","176.45","9.55",101599,"1,427,465.95",698
"11-Mar-2020","EQ","14.75","14.75","14.75","15.50","14.75","14.75","14.75","176.45","9.55",370283,"5,461,674.25",931
"09-Mar-2020","EQ","15.50","15.50","15.50","16.30","15.50","15.50","15.50","176.45","9.55",297254,"4,607,437.00",1020
"06-Mar-2020","EQ","17.40","17.40","16.30","17.15","16.30","16.30","16.63","176.45","9.55",2475887,"41,169,316.15",5491
"05-Mar-2020","EQ","17.15","17.15","17.15","16.35","17.15","17.15","17.15","176.45","9.55",280586,"4,812,049.90",857
"04-Mar-2020","EQ","16.35","16.35","16.35","15.60","16.35","16.35","16.35","176.45","9.55",505607,"8,266,674.45",1023
