Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Apr-20,EQ,933,958.4,926,954.95,937,938.05,938.02,"2,503.30",738.75,16642831,"15,61,12,68,244.20",293787
23-Apr-20,EQ,935,958.5,912.55,928.6,952.1,954.95,939.81,"2,503.30",738.75,20450895,"19,21,99,11,302.15",424855
22-Apr-20,EQ,919.15,933,907.3,921.65,929.75,928.6,920.24,"2,503.30",738.75,19144678,"17,61,76,71,415.90",258479
21-Apr-20,EQ,925,934,908,944.85,919.15,921.65,922.24,"2,503.30",738.75,16589148,"15,29,91,96,199.55",291815
20-Apr-20,EQ,951,960.95,935,910.3,943.3,944.85,945.7,"2,503.30",738.75,33116614,"31,31,84,95,817.80",555965
17-Apr-20,EQ,915,920,887.25,879.75,915.1,910.3,906.63,"2,503.30",738.75,27941831,"25,33,30,29,144.80",453652
16-Apr-20,EQ,865,890.7,856.25,863.3,884.25,879.75,870.76,"2,503.30",738.75,26927231,"23,44,70,30,480.50",467724
15-Apr-20,EQ,930.5,930.5,843,895.35,865.15,863.3,885.42,"2,503.30",738.75,28989523,"25,66,79,31,187.70",517354
13-Apr-20,EQ,934,946.7,886.2,925.05,897.8,895.35,907.82,"2,503.30",738.75,17079259,"15,50,48,28,498.50",389148
09-Apr-20,EQ,913,930.9,890,888.9,922.1,925.05,913.38,"2,503.30",738.75,22229012,"20,30,34,62,865.40",417910
08-Apr-20,EQ,879.95,945,866.1,896.1,888.7,888.9,902.09,"2,503.30",738.75,28109877,"25,35,76,09,084.60",503019
07-Apr-20,EQ,874,907.3,845.35,813.85,895.8,896.1,871.57,"2,503.30",738.75,30206626,"26,32,73,15,325.80",475198
03-Apr-20,EQ,843,844,810,829.65,811,813.85,825.26,"2,503.30",738.75,17499063,"14,44,13,17,976.20",392455
01-Apr-20,EQ,863.85,863.85,820,861.9,829.55,829.65,831.99,"2,503.30",738.75,14551758,"12,10,69,33,301.25",354947
31-Mar-20,EQ,853.8,873.6,838,831.65,857.95,861.9,854.73,"2,503.30",738.75,17605997,"15,04,84,45,041.15",411360
30-Mar-20,EQ,880,887,828,904.45,831,831.65,858.48,"2,503.30",738.75,19634313,"16,85,56,55,095.40",491743
27-Mar-20,EQ,944.95,988.65,872.1,901.1,900,904.45,923.14,"2,503.30",738.75,27619436,"25,49,66,67,368.35",651440
26-Mar-20,EQ,870.1,937.7,841,856.75,898,901.1,898.62,"2,503.30",738.75,28521681,"25,63,01,40,172.80",627160
25-Mar-20,EQ,770.45,867.45,755.25,767.7,863,856.75,803.92,"2,503.30",738.75,23614449,"18,98,40,55,133.70",608039
24-Mar-20,EQ,795.25,810,738.75,771.55,774.8,767.7,775.82,"2,503.30",738.75,30528676,"23,68,47,12,047.25",634897
23-Mar-20,EQ,794.6,838.75,765,882.85,778.9,771.55,784.5,"2,503.30",765,25142273,"19,72,41,38,348.90",590210
20-Mar-20,EQ,875,914.6,824.55,895.55,881.25,882.85,868.05,"2,503.30",795,44319015,"38,47,10,82,495.00",790631
