"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","2,311.00","2,338.00","2,280.00","2,317.50","2,285.00","2,283.10","2,298.16","2,614.30","1,656.00",2169013,"4,984,728,420.90",100504
"23-Apr-2020","EQ","2,389.00","2,413.00","2,308.05","2,386.15","2,321.00","2,317.50","2,351.23","2,614.30","1,656.00",4095595,"9,629,682,937.05",192550
"22-Apr-2020","EQ","2,317.95","2,399.95","2,275.65","2,317.40","2,390.00","2,386.15","2,344.36","2,614.30","1,656.00",2837835,"6,652,905,717.80",160575
"21-Apr-2020","EQ","2,283.00","2,378.00","2,282.00","2,336.55","2,310.05","2,317.40","2,336.57","2,614.30","1,656.00",3227339,"7,540,909,685.15",153513
"20-Apr-2020","EQ","2,420.00","2,420.00","2,321.00","2,385.00","2,344.00","2,336.55","2,346.54","2,614.30","1,656.00",2985278,"7,005,059,781.75",165896
"17-Apr-2020","EQ","2,498.80","2,498.80","2,354.05","2,436.10","2,387.00","2,385.00","2,395.27","2,614.30","1,656.00",4540967,"10,876,855,176.60",266225
"16-Apr-2020","EQ","2,466.00","2,526.15","2,421.10","2,487.55","2,443.00","2,436.10","2,462.60","2,614.30","1,656.00",5388258,"13,269,113,039.85",296531
"15-Apr-2020","EQ","2,425.95","2,516.60","2,381.50","2,346.45","2,473.00","2,487.55","2,477.16","2,614.30","1,656.00",29485532,"73,040,325,455.05",484212
"13-Apr-2020","EQ","2,381.00","2,423.00","2,315.00","2,372.25","2,350.50","2,346.45","2,352.69","2,614.30","1,656.00",3249562,"7,645,203,672.85",190144
"09-Apr-2020","EQ","2,499.95","2,500.00","2,345.00","2,460.85","2,378.65","2,372.25","2,386.62","2,614.30","1,656.00",4770083,"11,384,386,831.30",282099
"08-Apr-2020","EQ","2,432.00","2,614.30","2,417.40","2,444.90","2,455.00","2,460.85","2,520.36","2,614.30","1,656.00",9791892,"24,679,065,797.20",415294
"07-Apr-2020","EQ","2,220.00","2,460.00","2,220.00","2,154.10","2,449.00","2,444.90","2,361.65","2,460.00","1,656.00",8510183,"20,098,061,022.85",356119
