"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","337.90","343.25","331.50","352.95","337.05","334.85","337.01","552.20","268.30",38513311,"12,979,357,489.20",414126
"23-Apr-2020","EQ","340.25","354.80","338.00","335.95","350.80","352.95","347.48","552.20","268.30",45953483,"15,968,139,039.60",413227
"22-Apr-2020","EQ","326.00","338.00","323.05","331.85","336.50","335.95","330.79","552.20","268.30",49115661,"16,246,999,523.00",470641
"21-Apr-2020","EQ","341.00","346.20","328.00","361.30","329.80","331.85","335.93","552.20","268.30",50118816,"16,836,640,489.60",526838
"20-Apr-2020","EQ","376.00","378.90","357.00","375.55","361.75","361.30","370.43","552.20","268.30",55811178,"20,673,903,439.80",636846
"17-Apr-2020","EQ","362.00","385.50","349.05","342.00","375.00","375.55","361.31","552.20","268.30",69008019,"24,933,049,546.80",949891
"16-Apr-2020","EQ","325.30","347.80","319.35","327.35","342.85","342.00","335.88","552.20","268.30",56494211,"18,975,317,553.80",519194
"15-Apr-2020","EQ","342.70","351.90","325.00","330.65","328.50","327.35","340.23","552.20","268.30",49134201,"16,717,007,506.60",466734
"13-Apr-2020","EQ","341.05","345.80","329.25","342.70","331.10","330.65","335.60","552.20","268.30",30995409,"10,401,957,611.00",308507
"09-Apr-2020","EQ","332.40","345.00","322.65","318.95","342.00","342.70","335.25","552.20","268.30",52432049,"17,578,019,638.95",513643
"08-Apr-2020","EQ","322.85","352.75","315.10","326.10","317.65","318.95","328.87","552.20","268.30",73931642,"24,313,828,663.50",716901
"07-Apr-2020","EQ","308.30","329.60","296.85","286.65","324.80","326.10","312.21","552.20","268.30",57662681,"18,002,717,272.65",516940
"03-Apr-2020","EQ","309.50","309.50","281.50","311.15","288.00","286.65","291.84","552.20","268.30",57330285,"16,731,286,856.70",531869
"01-Apr-2020","EQ","319.00","323.75","308.10","323.75","311.50","311.15","314.20","552.20","268.30",33142102,"10,413,253,174.80",363679
"31-Mar-2020","EQ","324.70","334.85","316.00","313.40","320.40","323.75","325.29","552.20","268.30",46280029,"15,054,562,351.35",485411
"30-Mar-2020","EQ","330.10","333.90","311.10","339.85","315.10","313.40","324.03","552.20","268.30",36560532,"11,846,615,701.45",525988
"27-Mar-2020","EQ","355.80","359.55","326.00","330.25","338.50","339.85","342.60","552.20","268.30",72890796,"24,972,611,400.30",820234
"26-Mar-2020","EQ","322.00","364.40","314.25","316.90","331.50","330.25","339.77","552.20","268.30",76174000,"25,881,509,450.70",820649
"25-Mar-2020","EQ","284.00","334.15","281.60","296.50","315.15","316.90","306.77","552.20","268.30",66545735,"20,414,243,484.35",813004
"24-Mar-2020","EQ","295.30","305.00","268.30","284.00","298.55","296.50","289.43","552.20","268.30",67896591,"19,651,491,211.20",586196
"23-Mar-2020","EQ","311.15","313.70","280.00","345.70","282.40","284.00","291.38","552.20","280.00",56868412,"16,570,590,575.05",510598
"20-Mar-2020","EQ","328.00","359.80","323.00","338.55","344.40","345.70","341.93","552.20","323.00",88640850,"30,308,752,318.25",742628
"19-Mar-2020","EQ","336.10","369.60","323.00","355.05","335.40","338.55","340.96","552.20","323.00",57986210,"19,771,226,681.50",510635
"18-Mar-2020","EQ","369.10","375.50","342.30","367.25","358.00","355.05","356.54","552.20","342.30",61204129,"21,821,915,599.25",941197
"17-Mar-2020","EQ","407.00","408.45","364.00","402.90","366.95","367.25","388.74","552.20","364.00",47233442,"18,361,355,943.00",518412
"16-Mar-2020","EQ","424.20","424.20","397.45","447.20","401.10","402.90","409.76","552.20","375.25",34834779,"14,273,999,292.20",405336
"13-Mar-2020","EQ","401.00","464.75","395.20","425.65","449.95","447.20","433.74","552.20","370.00",67105024,"29,106,270,608.70",417226
"12-Mar-2020","EQ","438.00","445.95","416.00","465.65","432.95","425.65","433.56","552.20","370.00",50757036,"22,006,253,604.00",397139
"11-Mar-2020","EQ","450.00","471.75","449.60","457.75","465.55","465.65","465.27","552.20","370.00",31018901,"14,432,248,215.00",334058
"09-Mar-2020","EQ","475.00","475.00","442.95","486.35","457.50","457.75","459.37","552.20","370.00",42027546,"19,306,184,658.60",401229
"06-Mar-2020","EQ","485.00","496.80","477.30","504.50","485.75","486.35","486.92","552.20","352.80",31024353,"15,106,400,878.70",334872
