"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","668.55","675.00","654.80","679.30","660.95","658.00","662.50","847.00","509.25",7319950,"4,849,470,612.45",162251
"23-Apr-2020","EQ","647.05","683.65","638.10","641.85","675.00","679.30","665.09","847.00","509.25",14451294,"9,611,440,870.60",225884
"22-Apr-2020","EQ","633.20","645.00","628.05","633.20","641.50","641.85","639.85","847.00","509.25",8267159,"5,289,759,466.35",148917
"21-Apr-2020","EQ","627.80","646.50","627.80","653.30","633.00","633.20","638.34","847.00","509.25",11660678,"7,443,524,923.00",195803
"20-Apr-2020","EQ","640.00","661.00","639.00","628.75","650.95","653.30","653.71","847.00","509.25",13322995,"8,709,344,590.30",220363
"17-Apr-2020","EQ","644.00","646.00","626.00","623.85","634.20","628.75","633.50","847.00","509.25",8878372,"5,624,422,628.20",220448
"16-Apr-2020","EQ","619.95","634.90","603.50","639.05","626.90","623.85","620.50","847.00","509.25",17783310,"11,034,508,894.50",254606
"15-Apr-2020","EQ","651.40","653.30","635.60","637.40","640.00","639.05","645.85","847.00","509.25",11963493,"7,726,657,236.85",278339
"13-Apr-2020","EQ","629.00","651.70","626.05","636.25","637.00","637.40","641.21","847.00","509.25",8330291,"5,341,425,789.00",232090
"09-Apr-2020","EQ","646.80","652.80","632.10","631.60","635.60","636.25","640.28","847.00","509.25",11931287,"7,639,338,597.25",232901
"08-Apr-2020","EQ","630.00","655.65","626.35","639.00","632.25","631.60","637.44","847.00","509.25",11806901,"7,526,162,135.55",235881
"07-Apr-2020","EQ","615.00","644.25","612.90","585.70","633.80","639.00","627.65","847.00","509.25",15146526,"9,506,714,566.30",260480
"03-Apr-2020","EQ","603.50","606.00","582.15","602.80","588.50","585.70","592.53","847.00","509.25",10221890,"6,056,725,607.95",261228
"01-Apr-2020","EQ","634.35","637.50","594.00","641.50","603.90","602.80","611.89","847.00","509.25",13083865,"8,005,888,360.85",379235
"31-Mar-2020","EQ","650.00","662.00","633.70","626.70","639.60","641.50","647.80","847.00","509.25",15175528,"9,830,768,498.10",279311
"30-Mar-2020","EQ","625.10","663.50","621.10","652.70","623.80","626.70","638.82","847.00","509.25",14625720,"9,343,228,363.50",230047
"27-Mar-2020","EQ","665.05","674.90","642.25","643.00","655.00","652.70","653.79","847.00","509.25",13495469,"8,823,242,465.25",262091
"26-Mar-2020","EQ","615.00","650.85","612.10","606.20","640.00","643.00","638.74","847.00","509.25",14868843,"9,497,347,855.35",291975
"25-Mar-2020","EQ","597.00","635.00","565.70","589.80","607.00","606.20","596.75","847.00","509.25",18339650,"10,944,193,384.35",429544
"24-Mar-2020","EQ","522.00","601.15","522.00","526.45","600.00","589.80","572.73","847.00","509.25",20029537,"11,471,457,437.10",434375
"23-Mar-2020","EQ","540.00","560.95","515.90","585.20","529.15","526.45","531.33","847.00","509.25",17146303,"9,110,393,752.80",258952
"20-Mar-2020","EQ","549.50","617.45","548.00","545.55","580.90","585.20","585.10","847.00","509.25",21356183,"12,495,510,370.85",407561
"19-Mar-2020","EQ","509.25","558.00","509.25","534.30","551.80","545.55","540.83","847.00","509.25",16584106,"8,969,244,995.00",313532
"18-Mar-2020","EQ","568.00","578.00","528.00","554.95","531.70","534.30","552.92","847.00","528.00",15391568,"8,510,344,347.20",235885
"17-Mar-2020","EQ","588.10","592.00","550.00","583.15","560.00","554.95","571.99","847.00","550.00",16060126,"9,186,285,698.00",359329
"16-Mar-2020","EQ","622.00","622.15","580.00","642.35","583.20","583.15","597.37","847.00","570.00",19140854,"11,434,179,964.35",462293
"13-Mar-2020","EQ","592.00","667.00","570.00","631.20","652.15","642.35","629.00","847.00","570.00",16903140,"10,632,077,962.50",286353
"12-Mar-2020","EQ","668.00","670.00","627.50","686.00","631.00","631.20","644.47","847.00","615.10",13965689,"9,000,417,645.15",265786
"11-Mar-2020","EQ","690.65","695.95","669.05","704.45","682.15","686.00","685.87","847.00","615.10",16165054,"11,087,131,348.55",233010
"09-Mar-2020","EQ","724.50","725.85","697.00","738.95","706.40","704.45","705.63","847.00","615.10",10308697,"7,274,162,430.10",180848
"06-Mar-2020","EQ","741.00","744.00","729.10","754.60","739.00","738.95","738.53","847.00","615.10",9216022,"6,806,310,521.15",147517
"05-Mar-2020","EQ","763.75","773.55","751.75","758.75","754.15","754.60","763.70","847.00","615.10",7755293,"5,922,737,656.50",124093
"04-Mar-2020","EQ","753.90","761.50","745.55","747.00","758.00","758.75","753.23","847.00","615.10",11013444,"8,295,623,046.90",155822
"03-Mar-2020","EQ","755.00","759.00","741.25","741.05","751.00","747.00","749.09","847.00","615.10",7826587,"5,862,836,380.75",136066
"02-Mar-2020","EQ","737.00","765.90","733.75","731.70","739.40","741.05","750.99","847.00","615.10",9821523,"7,375,861,532.00",155968
"28-Feb-2020","EQ","750.00","756.80","722.05","777.85","732.00","731.70","738.68","847.00","615.10",14123957,"10,433,101,671.40",277778
"27-Feb-2020","EQ","778.00","780.75","772.20","782.75","776.55","777.85","777.16","847.00","615.10",5223386,"4,059,425,154.50",100716
"26-Feb-2020","EQ","793.95","801.45","780.50","798.40","782.25","782.75","791.65","847.00","615.10",8760569,"6,935,314,353.15",168481
"25-Feb-2020","EQ","799.00","806.00","795.40","795.85","799.50","798.40","799.93","847.00","615.10",6996695,"5,596,900,401.25",114637
"24-Feb-2020","EQ","800.10","811.60","792.15","797.00","795.90","795.85","804.05","847.00","615.10",6627536,"5,328,879,149.90",130286
"20-Feb-2020","EQ","803.25","806.10","793.85","800.45","796.80","797.00","800.74","847.00","615.10",4564569,"3,655,039,598.50",94252
"19-Feb-2020","EQ","800.00","804.85","796.15","797.65","800.40","800.45","799.62","847.00","615.10",3985192,"3,186,637,946.20",79345
"18-Feb-2020","EQ","785.00","799.05","783.65","789.45","798.50","797.65","793.27","847.00","615.10",5083346,"4,032,462,343.75",103674
"17-Feb-2020","EQ","790.30","793.45","783.30","786.45","788.85","789.45","789.21","847.00","615.10",2929629,"2,312,085,827.25",69780
"14-Feb-2020","EQ","794.50","799.20","784.60","792.25","786.30","786.45","791.78","847.00","615.10",5321680,"4,213,573,742.60",103460
"13-Feb-2020","EQ","785.00","794.00","782.20","781.05","792.50","792.25","787.51","847.00","615.10",4387430,"3,455,129,906.00",80876
