"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Apr-2020","EQ","49.90","50.85","49.10","49.60","49.15","49.40","49.63","89.20","31.65",334742,"16,613,209.15",4343
"24-Apr-2020","EQ","51.40","51.40","49.50","51.85","49.90","49.60","50.27","91.40","31.65",334685,"16,823,176.60",4079
"23-Apr-2020","EQ","53.35","53.60","51.50","52.90","52.00","51.85","52.66","91.40","31.65",347950,"18,322,564.00",4133
"22-Apr-2020","EQ","50.20","54.50","48.40","50.05","53.25","52.90","52.41","91.40","31.65",1312289,"68,773,307.35",10620
"21-Apr-2020","EQ","51.90","51.90","49.35","52.75","50.20","50.05","50.22","91.40","31.65",444548,"22,323,033.50",5780
"20-Apr-2020","EQ","54.90","54.90","52.40","52.65","53.00","52.75","53.17","91.40","31.65",634905,"33,756,318.15",6789
"17-Apr-2020","EQ","54.75","54.75","51.10","49.90","53.00","52.65","52.44","94.40","31.65",1071279,"56,176,547.80",9849
"16-Apr-2020","EQ","49.00","49.90","47.50","45.40","49.90","49.90","49.54","94.40","31.65",811280,"40,187,868.05",5453
"15-Apr-2020","EQ","45.00","46.70","44.70","44.30","45.35","45.40","45.68","94.40","31.65",406618,"18,574,614.35",4690
"13-Apr-2020","EQ","45.70","46.45","43.00","45.50","44.70","44.30","44.35","94.40","31.65",493285,"21,876,093.15",5034
"09-Apr-2020","EQ","43.85","45.90","42.50","42.40","45.20","45.50","44.96","94.40","31.65",709278,"31,889,699.30",6531
"08-Apr-2020","EQ","40.75","43.35","40.20","40.40","42.50","42.40","42.12","94.40","31.65",460531,"19,398,782.30",4357
"07-Apr-2020","EQ","41.00","41.00","40.00","39.50","40.55","40.40","40.42","94.40","31.65",347587,"14,050,329.85",3567
"03-Apr-2020","EQ","42.90","42.90","38.70","40.10","39.30","39.50","39.64","96.20","31.65",275332,"10,914,235.85",3921
"01-Apr-2020","EQ","40.00","40.80","39.00","40.60","40.25","40.10","39.90","96.20","31.65",189941,"7,578,831.05",3392
"31-Mar-2020","EQ","41.40","41.40","38.60","38.90","41.00","40.60","40.40","96.20","31.65",331999,"13,411,227.50",3244
"30-Mar-2020","EQ","39.90","39.90","37.80","40.45","39.40","38.90","38.82","96.20","31.65",374126,"14,521,921.55",4012
"27-Mar-2020","EQ","42.00","42.80","39.20","39.05","40.50","40.45","41.03","96.20","31.65",558856,"22,931,769.20",6517
"26-Mar-2020","EQ","36.00","39.05","35.70","35.50","39.05","39.05","38.28","96.20","31.65",573049,"21,938,954.50",6578
"25-Mar-2020","EQ","34.45","35.90","33.15","35.10","35.00","35.50","34.86","96.20","31.65",387477,"13,508,228.90",4570
"24-Mar-2020","EQ","37.00","37.00","31.65","34.40","35.00","35.10","34.41","96.20","31.65",643424,"22,140,539.75",6742
"23-Mar-2020","EQ","42.00","42.05","34.40","42.95","34.40","34.40","35.87","96.20","34.40",985331,"35,347,270.90",8468
"20-Mar-2020","EQ","42.10","44.35","41.10","42.10","42.75","42.95","42.83","96.20","41.10",445449,"19,077,369.80",4798
"19-Mar-2020","EQ","45.60","45.60","41.50","45.95","42.10","42.10","42.91","96.20","41.50",686700,"29,463,028.20",7387
"18-Mar-2020","EQ","48.70","50.20","44.90","48.20","46.00","45.95","46.96","96.20","42.20",642938,"30,195,481.20",5879
"17-Mar-2020","EQ","48.50","51.70","47.10","49.90","47.75","48.20","49.92","96.20","42.20",480458,"23,983,735.25",4833
"16-Mar-2020","EQ","50.00","51.90","48.35","51.60","49.75","49.90","50.11","96.20","42.20",373911,"18,736,730.95",3995
"13-Mar-2020","EQ","45.00","52.50","42.20","52.70","51.50","51.60","48.78","99.65","42.20",1022523,"49,877,951.15",9003
"12-Mar-2020","EQ","58.00","58.95","52.05","60.65","52.90","52.70","54.21","99.65","52.05",733904,"39,783,165.75",7217
"11-Mar-2020","EQ","60.55","62.15","59.60","60.55","60.55","60.65","60.77","99.65","54.65",334934,"20,354,304.75",3283
"09-Mar-2020","EQ","61.85","61.90","59.00","62.65","60.50","60.55","59.98","99.65","54.65",653241,"39,180,469.45",6408
"06-Mar-2020","EQ","61.65","63.80","60.85","64.45","62.90","62.65","62.45","99.65","54.65",427525,"26,700,233.00",3599
"05-Mar-2020","EQ","63.55","64.90","62.85","63.90","64.50","64.45","64.12","99.65","54.65",260548,"16,706,268.65",2363
"04-Mar-2020","EQ","65.50","65.60","62.65","64.65","63.80","63.90","64.16","99.65","54.65",387721,"24,875,294.30",2749
"03-Mar-2020","EQ","62.55","65.00","62.55","62.00","65.00","64.65","64.03","99.65","54.65",595197,"38,107,983.00",4201
"02-Mar-2020","EQ","63.60","65.35","61.35","63.00","62.25","62.00","64.15","99.65","54.65",970011,"62,224,774.40",6673
"28-Feb-2020","EQ","64.00","64.50","60.80","66.45","62.50","63.00","63.09","99.65","54.65",759296,"47,904,329.55",5434
"27-Feb-2020","EQ","65.30","67.05","64.15","65.70","66.05","66.45","65.82","99.65","54.65",460606,"30,319,301.25",4015
"26-Feb-2020","EQ","65.00","67.90","63.60","65.55","65.70","65.70","65.85","99.65","54.65",743654,"48,966,487.00",5871
"25-Feb-2020","EQ","66.00","66.90","65.30","66.05","65.60","65.55","65.77","99.65","54.65",211712,"13,924,529.65",2443
"24-Feb-2020","EQ","67.20","67.40","65.65","68.05","66.30","66.05","66.55","99.65","54.65",260696,"17,348,138.30",2934
"20-Feb-2020","EQ","66.75","68.80","66.65","67.20","68.00","68.05","67.95","99.65","54.65",578441,"39,302,762.10",4349
"19-Feb-2020","EQ","66.70","68.00","66.25","66.25","67.00","67.20","67.20","99.65","54.65",325427,"21,870,036.00",3368
"18-Feb-2020","EQ","67.25","67.75","65.30","67.55","66.10","66.25","66.12","99.65","54.65",409024,"27,045,051.00",3662
"17-Feb-2020","EQ","69.50","69.80","67.05","69.85","67.35","67.55","68.31","99.65","54.65",440214,"30,070,455.30",4697
"14-Feb-2020","EQ","70.25","71.85","69.20","70.75","69.60","69.85","70.62","99.65","54.65",384700,"27,166,292.90",4091
"13-Feb-2020","EQ","71.50","71.85","70.25","71.50","70.60","70.75","70.92","99.65","54.65",340532,"24,150,854.80",3623
"12-Feb-2020","EQ","72.10","72.70","71.05","72.20","71.30","71.50","71.79","99.65","54.65",476172,"34,182,773.15",4597
"11-Feb-2020","EQ","74.00","74.15","71.60","73.65","71.95","72.20","72.81","99.65","54.65",386307,"28,127,978.00",3473
"10-Feb-2020","EQ","72.30","74.40","71.00","72.45","73.80","73.65","72.60","99.65","54.65",755641,"54,857,800.05",5674
"07-Feb-2020","EQ","73.05","73.25","72.05","73.25","72.25","72.45","72.61","99.65","54.65",320171,"23,246,616.10",3094
"06-Feb-2020","EQ","74.35","74.40","72.95","74.05","73.05","73.25","73.58","99.65","54.65",394008,"28,990,645.55",3672
"05-Feb-2020","EQ","73.60","75.10","73.00","73.20","73.85","74.05","74.17","99.65","54.65",759787,"56,356,447.15",6818
"04-Feb-2020","EQ","70.75","74.20","70.75","70.20","73.30","73.20","72.80","99.65","54.65",950170,"69,174,477.90",7464
"03-Feb-2020","EQ","70.50","72.10","69.80","71.70","70.15","70.20","70.98","99.65","54.65",579134,"41,105,817.85",5630
"01-Feb-2020","EQ","74.45","76.40","71.00","74.45","71.40","71.70","74.08","99.65","54.65",792545,"58,714,937.15",7293
"31-Jan-2020","EQ","75.00","76.90","73.15","78.10","74.25","74.45","74.84","99.65","54.65",1440073,"107,772,612.10",12940
"30-Jan-2020","EQ","84.00","85.45","76.95","83.95","77.55","78.10","80.96","99.65","54.65",6552850,"530,550,664.20",42503
"29-Jan-2020","EQ","83.05","84.40","82.25","82.90","84.05","83.95","83.28","99.65","54.65",1070191,"89,128,368.35",7566
"28-Jan-2020","EQ","83.15","83.30","81.55","81.85","82.75","82.90","82.63","99.65","54.65",1245325,"102,895,792.40",8714
"27-Jan-2020","EQ","81.25","83.80","81.15","81.55","81.80","81.85","82.59","99.65","54.65",834781,"68,944,084.40",7476
"24-Jan-2020","EQ","81.50","82.75","81.15","81.80","81.70","81.55","81.97","100.00","54.65",602740,"49,406,628.20",4767
"23-Jan-2020","EQ","82.80","83.00","81.25","80.90","81.35","81.80","82.24","100.00","54.65",1094135,"89,981,548.60",8408
"22-Jan-2020","EQ","81.15","82.90","80.30","80.50","80.85","80.90","81.32","100.00","54.65",687360,"55,896,961.95",5971
"21-Jan-2020","EQ","80.00","81.60","80.00","82.00","80.60","80.50","80.83","100.00","54.65",651751,"52,679,029.50",5822
"20-Jan-2020","EQ","84.35","84.35","81.65","84.65","81.85","82.00","82.48","100.00","54.65",1013512,"83,589,854.25",8137
"17-Jan-2020","EQ","85.00","87.55","84.05","82.35","84.35","84.65","85.93","104.00","54.65",8860599,"761,385,076.50",45428
"16-Jan-2020","EQ","78.00","83.15","77.00","78.25","82.80","82.35","81.23","104.00","54.65",4423544,"359,316,496.85",20979
"15-Jan-2020","EQ","77.90","79.40","76.40","77.65","77.70","78.25","77.78","104.00","54.65",1006193,"78,258,594.15",6417
"14-Jan-2020","EQ","76.15","78.35","75.70","76.00","77.55","77.65","77.27","104.00","54.65",1002319,"77,448,644.25",7928
"13-Jan-2020","EQ","76.85","76.85","75.55","76.15","76.10","76.00","75.99","104.00","54.65",450243,"34,216,213.00",3994
"10-Jan-2020","EQ","75.75","77.70","74.75","75.75","75.90","76.15","76.35","106.35","54.65",980717,"74,880,575.20",8616
"09-Jan-2020","EQ","75.60","76.95","75.25","74.35","75.40","75.75","75.76","106.35","54.65",517671,"39,216,200.00",5205
"08-Jan-2020","EQ","74.00","74.85","73.05","75.10","74.75","74.35","74.21","106.35","54.65",430216,"31,926,977.95",4534
"07-Jan-2020","EQ","75.00","80.00","74.50","72.65","75.00","75.10","76.34","106.35","54.65",1561371,"119,193,557.95",9999
"06-Jan-2020","EQ","74.65","75.30","72.10","75.95","72.65","72.65","73.08","106.35","54.65",475548,"34,754,718.15",5360
"03-Jan-2020","EQ","77.00","77.70","75.15","77.95","76.10","75.95","76.41","106.35","54.65",782765,"59,808,116.95",8501
"02-Jan-2020","EQ","75.05","78.45","75.05","75.20","77.85","77.95","77.03","106.35","54.65",1205899,"92,892,737.05",8138
"01-Jan-2020","EQ","74.50","76.90","74.45","74.90","75.00","75.20","75.49","106.35","54.65",487832,"36,824,722.20",3880
"31-Dec-2019","EQ","76.00","76.15","74.70","76.30","75.00","74.90","75.30","106.35","54.65",431722,"32,509,585.30",4521
"30-Dec-2019","EQ","74.80","77.00","73.60","74.70","76.25","76.30","74.81","106.35","54.65",2580045,"193,006,746.10",10068
"27-Dec-2019","EQ","72.00","75.40","71.80","72.00","75.35","74.70","73.91","106.35","54.65",996336,"73,640,781.80",7012
"26-Dec-2019","EQ","72.00","73.25","71.25","72.10","71.70","72.00","72.12","106.35","54.65",457055,"32,964,797.05",5011
"24-Dec-2019","EQ","72.35","72.85","71.50","72.35","72.10","72.10","72.06","106.35","54.65",330328,"23,804,492.50",3853
"23-Dec-2019","EQ","71.90","72.95","71.10","71.90","72.25","72.35","72.24","106.35","54.65",455096,"32,878,054.75",4230
"20-Dec-2019","EQ","71.95","72.30","71.50","71.80","71.75","71.90","71.87","110.85","54.65",400944,"28,816,698.30",3453
"19-Dec-2019","EQ","71.85","72.25","71.25","72.40","71.60","71.80","71.74","110.85","54.65",309631,"22,212,543.00",2726
"18-Dec-2019","EQ","71.80","73.20","71.10","71.75","72.40","72.40","71.86","110.85","54.65",456251,"32,787,634.80",4637
"17-Dec-2019","EQ","71.80","72.50","71.15","71.50","71.80","71.75","71.81","110.85","54.65",415026,"29,805,047.80",3608
"16-Dec-2019","EQ","72.85","73.00","71.20","72.55","71.45","71.50","71.86","110.85","54.65",322932,"23,205,905.80",3462
"13-Dec-2019","EQ","71.75","73.15","71.70","71.75","72.40","72.55","72.61","110.85","54.65",518485,"37,647,341.45",4398
"12-Dec-2019","EQ","71.60","72.70","71.05","70.85","71.30","71.75","71.69","110.85","54.65",557336,"39,956,751.65",5361
"11-Dec-2019","EQ","72.00","72.35","70.50","72.45","71.00","70.85","71.16","110.85","54.65",730702,"51,993,629.90",5433
"10-Dec-2019","EQ","73.55","74.15","72.20","74.25","72.50","72.45","72.93","110.85","54.65",625057,"45,585,196.15",4120
"09-Dec-2019","EQ","76.55","76.95","73.50","77.30","74.40","74.25","74.53","110.85","54.65",1050796,"78,317,163.60",7079
"06-Dec-2019","EQ","80.00","81.40","76.20","77.05","76.65","77.30","79.36","110.85","54.65",7497323,"595,007,445.90",44196
"05-Dec-2019","EQ","72.95","78.00","72.20","72.75","77.65","77.05","75.57","110.85","54.65",3488718,"263,641,792.40",21813
"04-Dec-2019","EQ","70.50","73.45","70.00","71.00","72.80","72.75","71.52","110.85","54.65",1320445,"94,438,862.00",7183
"03-Dec-2019","EQ","72.00","72.00","69.75","71.45","70.75","71.00","70.59","110.85","54.65",454714,"32,098,833.95",5466
"02-Dec-2019","EQ","70.00","72.30","69.50","70.20","71.20","71.45","70.33","110.85","54.65",759286,"53,399,437.10",3971
"29-Nov-2019","EQ","71.00","71.50","70.00","70.95","71.00","70.20","70.61","110.85","54.65",333529,"23,549,239.35",3752
"28-Nov-2019","EQ","70.00","71.50","69.50","70.00","71.00","70.95","70.71","110.85","54.65",535669,"37,878,505.30",4832
"27-Nov-2019","EQ","70.00","70.80","68.55","69.40","69.65","70.00","69.64","110.85","54.65",616670,"42,942,999.90",4787
"26-Nov-2019","EQ","71.90","72.50","68.40","70.25","69.15","69.40","70.89","110.85","54.65",1537780,"109,018,683.80",9605
"25-Nov-2019","EQ","68.35","71.00","67.50","67.70","70.20","70.25","69.62","110.85","54.65",861838,"59,996,962.05",6376
"22-Nov-2019","EQ","67.75","68.30","67.10","67.75","68.00","67.70","67.80","110.85","54.65",346934,"23,520,823.95",4527
"21-Nov-2019","EQ","67.50","68.40","66.75","67.40","68.00","67.75","67.67","110.85","54.65",432941,"29,298,967.50",5059
"20-Nov-2019","EQ","67.25","67.90","66.70","67.25","67.30","67.40","67.19","110.85","54.65",1066577,"71,661,781.15",6911
"19-Nov-2019","EQ","68.95","69.30","67.00","68.90","67.10","67.25","67.98","110.85","54.65",618199,"42,022,310.60",4810
"18-Nov-2019","EQ","70.80","70.95","68.40","70.60","69.00","68.90","69.25","110.85","54.65",515798,"35,718,281.80",4405
"15-Nov-2019","EQ","71.70","72.80","70.15","72.05","70.40","70.60","71.14","111.50","54.65",698679,"49,707,350.60",5509
"14-Nov-2019","EQ","68.55","74.95","67.10","68.30","71.30","72.05","70.80","111.50","54.65",1686171,"119,383,784.00",10374
"13-Nov-2019","EQ","69.30","69.70","68.15","68.85","68.60","68.30","68.78","111.50","54.65",369815,"25,436,307.25",3486
"11-Nov-2019","EQ","70.50","70.50","68.65","70.55","68.85","68.85","69.10","111.50","54.65",435797,"30,113,227.25",3961
"08-Nov-2019","EQ","71.50","72.20","70.35","71.50","70.50","70.55","71.04","111.65","54.65",482657,"34,289,905.90",3588
"07-Nov-2019","EQ","72.50","72.95","71.25","72.35","71.35","71.50","71.88","111.65","54.65",494097,"35,515,360.40",3415
"06-Nov-2019","EQ","72.35","76.50","71.75","72.15","72.40","72.35","73.12","111.65","54.65",1075264,"78,620,463.15",7016
"05-Nov-2019","EQ","73.70","75.45","71.80","73.70","72.35","72.15","73.46","111.65","54.65",1227761,"90,196,676.45",8381
"04-Nov-2019","EQ","75.00","76.40","73.00","74.95","73.40","73.70","74.49","111.65","54.65",835618,"62,246,534.10",6122
"01-Nov-2019","EQ","76.50","79.80","74.50","75.95","75.05","74.95","77.14","114.80","54.65",2416641,"186,409,155.20",14639
"31-Oct-2019","EQ","80.35","80.35","75.40","70.25","76.50","75.95","77.58","114.80","54.65",5531256,"429,098,079.65",33742
"30-Oct-2019","EQ","70.00","71.85","69.20","69.55","69.80","70.25","70.08","114.80","54.65",567143,"39,746,050.55",4207
"29-Oct-2019","EQ","67.60","72.35","66.80","66.45","69.50","69.55","69.89","114.80","54.65",1257342,"87,879,640.45",8931
"27-Oct-2019","EQ","66.15","67.00","66.10","65.75","66.80","66.45","66.54","114.80","54.65",60570,"4,030,284.25",744
"25-Oct-2019","EQ","66.40","66.45","65.15","66.05","65.70","65.75","65.70","114.80","54.65",184917,"12,148,388.00",1799
"24-Oct-2019","EQ","66.20","67.60","65.45","66.10","66.05","66.05","66.39","114.80","54.65",253501,"16,830,697.25",2248
"23-Oct-2019","EQ","66.50","66.50","65.25","66.15","66.00","66.10","65.97","114.80","54.65",324420,"21,403,057.50",2749
"22-Oct-2019","EQ","67.50","68.40","65.00","67.85","66.00","66.15","66.98","114.80","54.65",348244,"23,325,562.40",2918
"18-Oct-2019","EQ","67.50","69.15","67.15","67.05","68.05","67.85","68.00","114.80","54.65",448442,"30,495,770.50",3196
"17-Oct-2019","EQ","66.00","67.90","65.15","66.05","67.15","67.05","66.24","114.80","54.65",425909,"28,212,739.35",3153
"16-Oct-2019","EQ","66.45","67.70","65.50","66.10","65.70","66.05","66.43","114.80","54.65",222537,"14,783,565.40",2034
"15-Oct-2019","EQ","66.00","67.15","65.15","66.00","66.25","66.10","66.25","114.80","54.65",245124,"16,240,200.10",2492
"14-Oct-2019","EQ","65.60","67.25","65.10","65.60","66.15","66.00","66.26","114.80","54.65",269212,"17,837,302.65",1951
"11-Oct-2019","EQ","66.10","66.80","64.75","66.40","65.50","65.60","65.77","114.80","54.65",301178,"19,807,186.45",3145
"10-Oct-2019","EQ","67.40","68.00","66.00","68.35","66.00","66.40","66.95","114.80","54.65",307229,"20,568,166.05",2593
"09-Oct-2019","EQ","68.00","68.60","66.35","68.70","68.25","68.35","67.80","114.80","54.65",325573,"22,073,386.60",2716
"07-Oct-2019","EQ","69.45","69.50","67.90","69.35","68.25","68.70","68.67","114.80","54.65",649828,"44,623,217.10",3385
"04-Oct-2019","EQ","69.10","72.95","68.75","69.30","69.15","69.35","70.43","114.80","54.65",635471,"44,753,161.50",5520
"03-Oct-2019","EQ","67.00","69.65","66.30","67.85","69.50","69.30","68.10","114.80","54.65",274015,"18,660,742.20",2245
"01-Oct-2019","EQ","70.40","70.85","67.00","70.10","67.60","67.85","68.68","114.80","54.65",358809,"24,642,107.55",3387
"30-Sep-2019","EQ","71.80","71.80","69.65","72.20","70.05","70.10","70.38","114.80","54.65",309493,"21,782,726.80",2677
"27-Sep-2019","EQ","70.55","73.20","69.25","70.85","71.65","72.20","71.38","114.80","54.65",619528,"44,223,992.75",3902
"26-Sep-2019","EQ","71.05","72.25","70.30","71.05","70.95","70.85","71.15","114.80","54.65",365650,"26,017,318.50",2876
"25-Sep-2019","EQ","73.00","73.00","70.30","72.85","71.00","71.05","71.39","114.80","54.65",486765,"34,751,026.75",4448
"24-Sep-2019","EQ","72.90","74.00","71.80","73.05","73.45","72.85","72.84","114.80","54.65",509454,"37,110,684.35",3824
"23-Sep-2019","EQ","73.40","75.00","71.65","72.00","72.95","73.05","73.05","114.80","54.65",618216,"45,161,152.20",5398
"20-Sep-2019","EQ","67.15","73.30","67.05","67.15","72.35","72.00","70.92","117.00","54.65",1036474,"73,510,572.60",8642
"19-Sep-2019","EQ","68.65","68.65","66.75","68.40","67.45","67.15","67.30","117.00","54.65",268929,"18,097,747.60",2740
"18-Sep-2019","EQ","68.80","69.15","67.20","67.95","68.20","68.40","68.17","117.00","54.65",374441,"25,526,644.00",3456
"17-Sep-2019","EQ","70.70","70.90","66.95","70.70","68.60","67.95","68.84","117.00","54.65",539803,"37,161,394.45",4838
