"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","838.00","869.00","834.15","840.60","851.00","851.20","855.24","1,607.00","661.00",7960660,"6,808,249,623.05",220618
"23-Apr-2020","EQ","860.00","869.50","835.00","852.60","843.35","840.60","853.02","1,607.00","661.00",6322048,"5,392,858,863.75",227895
"22-Apr-2020","EQ","873.00","885.50","850.00","870.35","855.50","852.60","866.49","1,607.00","661.00",6090177,"5,277,102,093.50",235279
"21-Apr-2020","EQ","897.00","906.60","863.00","915.60","875.00","870.35","882.81","1,607.00","661.00",5122597,"4,522,272,754.80",164745
"20-Apr-2020","EQ","940.80","943.00","911.00","932.90","918.00","915.60","928.59","1,607.00","661.00",4958437,"4,604,352,916.75",158851
"17-Apr-2020","EQ","930.00","940.00","916.00","911.65","935.00","932.90","927.60","1,607.00","661.00",5827735,"5,405,801,563.70",185080
"16-Apr-2020","EQ","875.95","919.80","870.15","880.15","909.00","911.65","908.80","1,607.00","661.00",6980628,"6,344,020,336.45",206450
"15-Apr-2020","EQ","890.95","926.60","869.00","865.45","876.90","880.15","902.16","1,607.00","661.00",10435586,"9,414,619,740.50",295558
"13-Apr-2020","EQ","812.80","872.40","807.95","812.80","864.40","865.45","847.08","1,607.00","661.00",9462929,"8,015,897,401.95",264873
"09-Apr-2020","EQ","834.35","834.35","804.40","807.10","805.00","812.80","816.43","1,607.00","661.00",6410629,"5,233,849,142.20",185106
"08-Apr-2020","EQ","804.00","832.00","797.70","801.65","808.00","807.10","813.47","1,607.00","661.00",6151093,"5,003,753,118.95",166115
"07-Apr-2020","EQ","805.00","813.00","791.00","774.65","802.20","801.65","804.35","1,607.00","661.00",5769216,"4,640,457,107.50",189036
"03-Apr-2020","EQ","791.10","791.10","762.80","774.35","783.00","774.65","773.33","1,607.00","661.00",4268501,"3,300,974,780.15",186484
"01-Apr-2020","EQ","806.85","812.40","766.55","808.50","775.55","774.35","782.06","1,607.00","661.00",4104461,"3,209,931,139.15",207097
"31-Mar-2020","EQ","820.00","823.00","791.20","798.65","810.10","808.50","806.85","1,607.00","661.00",8045539,"6,491,572,373.00",160157
"30-Mar-2020","EQ","801.00","815.00","791.00","837.05","799.00","798.65","802.54","1,607.00","661.00",4474168,"3,590,702,996.40",176856
"27-Mar-2020","EQ","867.90","890.00","812.00","838.00","841.00","837.05","845.61","1,607.00","661.00",6573602,"5,558,692,747.30",202101
"26-Mar-2020","EQ","787.75","842.30","754.15","765.75","842.30","838.00","807.95","1,607.00","661.00",9028697,"7,294,776,748.75",243919
"25-Mar-2020","EQ","697.20","775.00","661.00","707.90","769.00","765.75","698.45","1,607.00","661.00",16122626,"11,260,788,751.70",321286
"24-Mar-2020","EQ","755.00","755.75","672.00","724.05","710.00","707.90","707.20","1,607.00","672.00",7113438,"5,030,656,705.30",263108
"23-Mar-2020","EQ","809.00","809.95","706.00","864.70","721.00","724.05","745.22","1,607.00","706.00",7310033,"5,447,578,090.30",290747
"20-Mar-2020","EQ","849.00","877.80","831.30","843.10","852.00","864.70","854.10","1,607.00","831.30",6130498,"5,236,035,985.80",222198
"19-Mar-2020","EQ","873.90","884.00","837.70","904.55","839.00","843.10","859.14","1,607.00","837.70",7252149,"6,230,612,555.85",311401
"18-Mar-2020","EQ","968.00","974.75","900.00","956.75","912.00","904.55","931.06","1,607.00","890.00",5586629,"5,201,494,538.80",211669
"17-Mar-2020","EQ","972.00","1,005.00","940.15","968.70","953.00","956.75","974.73","1,607.00","890.00",4720357,"4,601,054,980.65",186154
"16-Mar-2020","EQ","1,014.25","1,042.00","961.90","1,051.45","968.00","968.70","998.65","1,607.00","890.00",6672579,"6,663,538,125.85",316173
"13-Mar-2020","EQ","950.00","1,060.45","890.00","1,016.55","1,060.00","1,051.45","1,001.53","1,607.00","890.00",8117968,"8,130,374,172.60",300693
"12-Mar-2020","EQ","1,070.00","1,070.05","1,004.10","1,116.95","1,020.00","1,016.55","1,032.32","1,607.00","1,004.10",9200492,"9,497,883,360.20",294935
"11-Mar-2020","EQ","1,090.00","1,120.95","1,085.80","1,101.95","1,119.00","1,116.95","1,110.74","1,607.00","1,067.30",5628178,"6,251,463,448.65",212206
"09-Mar-2020","EQ","1,135.80","1,135.80","1,067.30","1,158.90","1,101.00","1,101.95","1,094.26","1,607.00","1,067.30",8038432,"8,796,146,953.45",244516
"06-Mar-2020","EQ","1,148.00","1,164.00","1,130.85","1,182.45","1,154.85","1,158.90","1,145.21","1,607.00","1,130.85",3956575,"4,531,107,106.60",146183
"05-Mar-2020","EQ","1,180.10","1,187.25","1,166.20","1,176.65","1,180.50","1,182.45","1,179.10","1,607.00","1,150.55",2625152,"3,095,317,673.90",99673
"04-Mar-2020","EQ","1,185.00","1,187.85","1,158.00","1,181.30","1,175.90","1,176.65","1,175.29","1,607.00","1,150.55",3135151,"3,684,710,472.75",115524
"03-Mar-2020","EQ","1,166.00","1,186.80","1,162.05","1,160.90","1,183.15","1,181.30","1,174.87","1,607.00","1,150.55",3134527,"3,682,673,621.60",91823
"02-Mar-2020","EQ","1,205.00","1,212.35","1,150.55","1,187.55","1,153.90","1,160.90","1,183.81","1,607.00","1,150.55",3177486,"3,761,531,946.55",109785
"28-Feb-2020","EQ","1,189.65","1,196.45","1,162.00","1,210.35","1,191.10","1,187.55","1,178.90","1,607.00","1,162.00",6286647,"7,411,302,885.80",218919
"27-Feb-2020","EQ","1,212.35","1,216.95","1,200.00","1,211.15","1,208.70","1,210.35","1,207.28","1,607.00","1,200.00",4003149,"4,832,906,531.80",141145
"26-Feb-2020","EQ","1,235.00","1,238.00","1,206.00","1,242.05","1,214.90","1,211.15","1,219.79","1,607.00","1,206.00",5721483,"6,979,027,568.55",161455
"25-Feb-2020","EQ","1,262.20","1,265.65","1,240.15","1,259.70","1,241.85","1,242.05","1,247.67","1,607.00","1,240.15",3133077,"3,909,047,122.35",131233
"24-Feb-2020","EQ","1,271.90","1,271.90","1,252.65","1,280.60","1,259.90","1,259.70","1,261.31","1,607.00","1,252.65",3414064,"4,306,202,666.70",165366
"20-Feb-2020","EQ","1,279.90","1,288.90","1,275.30","1,281.40","1,282.00","1,280.60","1,281.55","1,607.00","1,240.00",3034681,"3,889,107,814.90",131459
"19-Feb-2020","EQ","1,298.00","1,299.00","1,276.60","1,286.35","1,281.50","1,281.40","1,282.49","1,607.00","1,240.00",1820353,"2,334,586,934.80",77257
"18-Feb-2020","EQ","1,281.50","1,289.80","1,266.45","1,280.20","1,288.00","1,286.35","1,276.29","1,607.00","1,240.00",2347917,"2,996,630,868.05",96379
"17-Feb-2020","EQ","1,297.00","1,297.85","1,277.00","1,295.15","1,281.50","1,280.20","1,285.41","1,607.00","1,240.00",2155085,"2,770,159,578.60",70230
"14-Feb-2020","EQ","1,295.00","1,304.95","1,290.60","1,292.25","1,293.20","1,295.15","1,297.12","1,607.00","1,201.10",1780119,"2,309,029,492.15",79043
"13-Feb-2020","EQ","1,299.00","1,299.85","1,285.00","1,297.30","1,291.00","1,292.25","1,290.74","1,607.00","1,201.10",1545536,"1,994,890,125.50",79219
"12-Feb-2020","EQ","1,289.10","1,299.85","1,280.00","1,286.90","1,299.00","1,297.30","1,290.13","1,607.00","1,201.10",2568696,"3,313,956,652.35",127830
"11-Feb-2020","EQ","1,292.00","1,298.95","1,284.00","1,285.30","1,286.25","1,286.90","1,291.89","1,607.00","1,201.10",2200796,"2,843,181,938.60",114602
"10-Feb-2020","EQ","1,300.00","1,302.45","1,273.10","1,299.00","1,283.00","1,285.30","1,283.99","1,607.00","1,201.10",3039992,"3,903,326,825.65",120243
"07-Feb-2020","EQ","1,313.05","1,314.40","1,296.00","1,317.60","1,298.50","1,299.00","1,301.73","1,607.00","1,201.10",3053804,"3,975,235,373.35",89067
"06-Feb-2020","EQ","1,322.90","1,325.00","1,309.05","1,310.05","1,317.00","1,317.60","1,317.41","1,607.00","1,201.10",2354458,"3,101,777,127.25",85894
"05-Feb-2020","EQ","1,297.90","1,325.00","1,295.00","1,291.75","1,311.00","1,310.05","1,312.90","1,607.00","1,201.10",4220104,"5,540,590,477.70",111767
"04-Feb-2020","EQ","1,296.00","1,307.30","1,287.55","1,286.65","1,293.00","1,291.75","1,297.18","1,607.00","1,201.10",3604309,"4,675,444,393.40",117966
"03-Feb-2020","EQ","1,290.00","1,303.90","1,272.00","1,287.40","1,287.05","1,286.65","1,286.44","1,607.00","1,201.10",5767353,"7,419,334,019.75",248556
"01-Feb-2020","EQ","1,372.60","1,383.70","1,280.00","1,369.30","1,286.60","1,287.40","1,329.24","1,607.00","1,201.10",8300700,"11,033,602,066.60",292918
"31-Jan-2020","EQ","1,375.95","1,377.00","1,360.45","1,370.20","1,370.00","1,369.30","1,370.07","1,607.00","1,201.10",3939306,"5,397,131,739.55",127379
"30-Jan-2020","EQ","1,365.95","1,376.80","1,353.00","1,365.70","1,365.00","1,370.20","1,364.75","1,607.00","1,201.10",2743506,"3,744,192,660.65",76783
"29-Jan-2020","EQ","1,353.10","1,374.95","1,352.10","1,346.65","1,365.05","1,365.70","1,366.37","1,607.00","1,201.10",3678474,"5,026,143,215.85",108090
"28-Jan-2020","EQ","1,350.90","1,355.00","1,338.00","1,348.60","1,345.00","1,346.65","1,344.91","1,607.00","1,201.10",2352852,"3,164,366,798.95",118120
"27-Jan-2020","EQ","1,340.00","1,364.90","1,340.00","1,359.20","1,347.00","1,348.60","1,354.47","1,607.00","1,201.10",2510013,"3,399,734,895.50",71639
"24-Jan-2020","EQ","1,332.00","1,367.85","1,332.00","1,332.30","1,352.00","1,359.20","1,353.21","1,607.00","1,201.10",5837319,"7,899,134,907.10",146118
"23-Jan-2020","EQ","1,307.00","1,339.85","1,306.00","1,294.20","1,330.45","1,332.30","1,329.21","1,607.00","1,201.10",10056067,"13,366,614,466.30",219420
"22-Jan-2020","EQ","1,311.00","1,312.00","1,292.00","1,302.35","1,294.90","1,294.20","1,300.14","1,607.00","1,201.10",2449753,"3,185,017,009.35",95993
"21-Jan-2020","EQ","1,304.75","1,313.90","1,300.45","1,309.60","1,302.10","1,302.35","1,306.33","1,607.00","1,201.10",1361576,"1,778,665,780.05",74036
"20-Jan-2020","EQ","1,313.95","1,319.90","1,306.50","1,304.20","1,311.10","1,309.60","1,312.97","1,607.00","1,201.10",2542477,"3,338,194,233.20",112596
"17-Jan-2020","EQ","1,320.60","1,325.95","1,302.00","1,319.30","1,304.00","1,304.20","1,311.60","1,607.00","1,201.10",2941837,"3,858,522,733.70",158742
"16-Jan-2020","EQ","1,327.70","1,332.90","1,317.40","1,323.60","1,319.00","1,319.30","1,324.35","1,607.00","1,201.10",1773135,"2,348,249,751.45",76644
"15-Jan-2020","EQ","1,325.60","1,336.15","1,320.00","1,326.10","1,323.50","1,323.60","1,326.80","1,607.00","1,201.10",2127677,"2,822,996,058.20",67695
"14-Jan-2020","EQ","1,329.80","1,331.00","1,315.10","1,334.70","1,326.00","1,326.10","1,323.19","1,607.00","1,201.10",2046500,"2,707,912,961.10",103923
