"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","5,100.00","5,140.00","5,030.00","5,156.35","5,050.00","5,045.65","5,082.53","7,758.70","4,001.10",1070905,"5,442,908,928.55",79318
"23-Apr-2020","EQ","5,169.00","5,244.60","5,045.00","5,180.85","5,160.00","5,156.35","5,172.04","7,758.70","4,001.10",1454065,"7,520,481,407.15",105193
"22-Apr-2020","EQ","5,009.00","5,248.25","4,991.00","5,001.10","5,168.00","5,180.85","5,134.59","7,758.70","4,001.10",1991789,"10,227,014,548.90",161876
"21-Apr-2020","EQ","5,131.30","5,131.30","4,884.50","5,331.35","5,009.95","5,001.10","5,001.21","7,758.70","4,001.10",1843174,"9,218,104,936.15",174888
"20-Apr-2020","EQ","5,512.00","5,573.95","5,280.00","5,505.00","5,297.30","5,331.35","5,390.28","7,758.70","4,001.10",1555313,"8,383,579,546.40",133978
"17-Apr-2020","EQ","5,325.00","5,602.95","5,211.70","5,130.80","5,579.00","5,505.00","5,357.87","7,758.70","4,001.10",2192907,"11,749,309,949.15",188848
"16-Apr-2020","EQ","5,017.00","5,228.00","4,970.00","5,094.30","5,148.00","5,130.80","5,112.87","7,758.70","4,001.10",1752170,"8,958,615,439.60",161573
"15-Apr-2020","EQ","5,307.50","5,350.00","5,041.00","5,283.15","5,090.00","5,094.30","5,211.13","7,758.70","4,001.10",2094529,"10,914,872,831.65",195907
"13-Apr-2020","EQ","5,285.00","5,343.40","5,001.00","5,326.65","5,270.00","5,283.15","5,166.27","7,758.70","4,001.10",2192269,"11,325,858,702.60",221195
"09-Apr-2020","EQ","4,794.45","5,399.00","4,736.20","4,698.10","5,350.00","5,326.65","5,116.97","7,758.70","4,001.10",3786661,"19,376,215,716.55",310721
"08-Apr-2020","EQ","4,406.50","4,925.00","4,406.50","4,553.65","4,700.00","4,698.10","4,702.68","7,758.70","4,001.10",2798838,"13,162,032,684.55",252470
"07-Apr-2020","EQ","4,150.00","4,612.90","4,120.00","4,011.50","4,525.95","4,553.65","4,325.97","7,758.70","4,001.10",2688425,"11,630,036,387.35",257463
"03-Apr-2020","EQ","4,250.00","4,267.00","4,001.10","4,246.35","4,011.50","4,011.50","4,099.78","7,758.70","4,001.10",1724863,"7,071,562,250.80",174626
"01-Apr-2020","EQ","4,290.00","4,424.85","4,190.10","4,288.30","4,229.00","4,246.35","4,273.79","7,758.70","4,030.00",1323857,"5,657,889,879.15",147374
"31-Mar-2020","EQ","4,450.00","4,468.05","4,210.00","4,328.45","4,288.30","4,288.30","4,288.74","7,758.70","4,030.00",2140288,"9,179,135,849.65",200296
"30-Mar-2020","EQ","4,587.45","4,639.95","4,270.00","4,646.10","4,360.00","4,328.45","4,423.18","7,758.70","4,030.00",1528083,"6,758,982,842.00",157181
"27-Mar-2020","EQ","5,100.00","5,136.50","4,555.00","4,878.00","4,655.00","4,646.10","4,753.66","7,758.70","4,030.00",1339446,"6,367,269,207.60",173761
"26-Mar-2020","EQ","5,024.45","5,120.00","4,750.00","5,005.95","4,950.00","4,878.00","4,926.22","7,758.70","4,030.00",1338798,"6,595,206,823.45",162802
"25-Mar-2020","EQ","4,439.00","5,159.40","4,310.10","4,486.45","4,960.00","5,005.95","4,785.80","7,758.70","4,030.00",1728820,"8,273,787,423.90",172520
"24-Mar-2020","EQ","4,341.00","4,570.00","4,030.00","4,220.35","4,545.00","4,486.45","4,361.25","7,758.70","4,030.00",1746713,"7,617,859,746.45",186957
"23-Mar-2020","EQ","4,575.00","4,790.00","4,141.00","5,079.20","4,178.00","4,220.35","4,371.69","7,758.70","4,141.00",1531989,"6,697,382,876.00",234867
"20-Mar-2020","EQ","4,869.00","5,225.00","4,812.60","4,819.55","5,094.00","5,079.20","5,040.51","7,758.70","4,652.55",1614608,"8,138,443,331.40",166562
"19-Mar-2020","EQ","4,870.00","5,096.60","4,652.55","5,352.65","4,859.00","4,819.55","4,874.22","7,758.70","4,652.55",2554586,"12,451,621,373.00",250425
"18-Mar-2020","EQ","5,671.00","5,688.80","5,312.55","5,603.95","5,370.20","5,352.65","5,419.95","7,758.70","4,803.05",973406,"5,275,813,532.30",113820
"17-Mar-2020","EQ","5,502.00","5,746.95","5,502.00","5,480.25","5,600.00","5,603.95","5,646.01","7,758.70","4,803.05",1238640,"6,993,371,024.15",127952
"16-Mar-2020","EQ","5,638.60","5,688.00","5,400.00","5,838.60","5,460.00","5,480.25","5,562.31","7,758.70","4,803.05",933424,"5,191,995,753.90",112598
"13-Mar-2020","EQ","5,325.20","6,063.50","4,803.05","5,643.15","5,900.00","5,838.60","5,608.16","7,758.70","4,803.05",1480275,"8,301,616,079.85",151656
"12-Mar-2020","EQ","5,939.30","5,939.30","5,555.55","6,146.30","5,642.25","5,643.15","5,742.20","7,758.70","5,446.05",1345986,"7,728,917,382.75",139523
"11-Mar-2020","EQ","6,160.00","6,310.95","6,105.00","6,201.10","6,137.95","6,146.30","6,177.52","7,758.70","5,446.05",937029,"5,788,518,295.35",100403
"09-Mar-2020","EQ","6,301.00","6,374.00","6,079.40","6,445.95","6,225.00","6,201.10","6,240.68","7,758.70","5,446.05",1082031,"6,752,611,537.40",113127
"06-Mar-2020","EQ","6,196.40","6,480.00","6,100.15","6,365.95","6,393.10","6,445.95","6,331.23","7,758.70","5,446.05",1140899,"7,223,292,485.55",98103
"05-Mar-2020","EQ","6,411.90","6,464.00","6,330.20","6,384.35","6,348.00","6,365.95","6,390.88","7,758.70","5,446.05",645853,"4,127,568,322.90",65335
"04-Mar-2020","EQ","6,390.00","6,424.00","6,209.00","6,386.05","6,380.00","6,384.35","6,334.46","7,758.70","5,446.05",904360,"5,728,634,377.25",82506
"03-Mar-2020","EQ","6,318.00","6,422.15","6,280.50","6,285.15","6,386.10","6,386.05","6,344.80","7,758.70","5,446.05",849199,"5,388,001,212.60",90279
"02-Mar-2020","EQ","6,400.95","6,439.55","6,250.00","6,283.10","6,300.00","6,285.15","6,332.12","7,758.70","5,446.05",1219764,"7,723,695,156.50",96971
"28-Feb-2020","EQ","6,163.05","6,367.35","6,103.20","6,289.80","6,294.05","6,283.10","6,235.61","7,758.70","5,446.05",1468843,"9,159,134,308.35",117164
"27-Feb-2020","EQ","6,230.00","6,338.05","6,166.80","6,234.85","6,291.00","6,289.80","6,259.71","7,758.70","5,446.05",1492657,"9,343,594,036.05",143056
"26-Feb-2020","EQ","6,350.00","6,368.85","6,186.05","6,414.55","6,260.00","6,234.85","6,285.00","7,758.70","5,446.05",1580738,"9,934,932,440.00",116894
"25-Feb-2020","EQ","6,505.40","6,510.00","6,376.55","6,470.40","6,411.25","6,414.55","6,447.27","7,758.70","5,446.05",964897,"6,220,955,759.00",120005
"24-Feb-2020","EQ","6,710.00","6,710.00","6,439.80","6,757.60","6,475.00","6,470.40","6,552.55","7,758.70","5,446.05",1091346,"7,151,099,771.80",116104
"20-Feb-2020","EQ","6,761.00","6,807.55","6,720.00","6,756.60","6,740.10","6,757.60","6,772.50","7,758.70","5,446.05",682513,"4,622,317,506.90",57024
"19-Feb-2020","EQ","6,850.00","6,854.95","6,624.60","6,781.10","6,763.00","6,756.60","6,734.72","7,758.70","5,446.05",1033939,"6,963,293,978.80",98165
"18-Feb-2020","EQ","6,925.00","6,930.00","6,735.80","6,906.75","6,795.00","6,781.10","6,786.65","7,758.70","5,446.05",830678,"5,637,520,586.70",72639
"17-Feb-2020","EQ","6,920.00","6,980.00","6,880.00","6,913.80","6,925.00","6,906.75","6,927.10","7,758.70","5,446.05",463548,"3,211,043,086.15",33826
"14-Feb-2020","EQ","7,000.05","7,088.95","6,901.00","7,005.05","6,915.00","6,913.80","6,988.30","7,758.70","5,446.05",614859,"4,296,819,104.45",57126
"13-Feb-2020","EQ","7,050.00","7,056.00","6,925.00","7,043.30","6,995.00","7,005.05","6,971.87","7,758.70","5,446.05",723169,"5,041,843,859.50",49754
"12-Feb-2020","EQ","7,056.10","7,110.00","7,007.95","7,033.75","7,048.00","7,043.30","7,061.19","7,758.70","5,446.05",599364,"4,232,221,558.10",42309
"11-Feb-2020","EQ","6,950.00","7,089.00","6,912.30","6,892.90","7,026.00","7,033.75","7,035.67","7,758.70","5,446.05",743160,"5,228,626,894.85",62908
"10-Feb-2020","EQ","6,975.00","6,989.10","6,851.10","6,971.75","6,894.60","6,892.90","6,899.40","7,758.70","5,446.05",593773,"4,096,674,552.90",53020
"07-Feb-2020","EQ","7,039.00","7,050.00","6,935.00","7,021.60","6,970.00","6,971.75","6,976.03","7,758.70","5,446.05",645814,"4,505,215,041.00",55241
"06-Feb-2020","EQ","7,075.00","7,120.35","6,976.80","7,040.90","7,014.20","7,021.60","7,040.99","7,758.70","5,446.05",875714,"6,165,891,109.55",66469
"05-Feb-2020","EQ","7,215.00","7,231.60","7,025.60","7,199.60","7,050.00","7,040.90","7,100.88","7,758.70","5,446.05",718489,"5,101,902,850.00",67964
"04-Feb-2020","EQ","7,020.00","7,215.00","7,001.00","7,011.30","7,196.30","7,199.60","7,133.75","7,758.70","5,446.05",973311,"6,943,361,735.55",77101
"03-Feb-2020","EQ","6,780.00","7,044.85","6,780.00","6,812.65","7,010.00","7,011.30","6,946.13","7,758.70","5,446.05",1010531,"7,019,275,548.45",115802
"01-Feb-2020","EQ","6,915.00","7,109.80","6,740.30","6,913.50","6,775.00","6,812.65","6,939.09","7,758.70","5,446.05",1412932,"9,804,458,184.70",149692
"31-Jan-2020","EQ","7,035.00","7,064.00","6,895.55","7,020.45","6,927.00","6,913.50","6,966.75","7,758.70","5,446.05",868935,"6,053,651,158.65",87940
"30-Jan-2020","EQ","7,020.00","7,049.00","6,981.00","7,010.30","7,020.00","7,020.45","7,014.30","7,758.70","5,446.05",579174,"4,062,497,416.75",48242
"29-Jan-2020","EQ","7,010.00","7,116.25","6,975.00","6,997.05","7,022.00","7,010.30","7,043.38","7,758.70","5,446.05",1001252,"7,052,201,123.75",116694
"28-Jan-2020","EQ","7,179.95","7,219.95","6,963.00","7,148.80","6,999.00","6,997.05","7,076.43","7,758.70","5,446.05",1614448,"11,424,531,373.55",151546
"27-Jan-2020","EQ","7,101.50","7,225.00","7,061.00","7,128.45","7,125.00","7,148.80","7,163.25","7,758.70","5,446.05",573149,"4,105,610,539.80",47664
"24-Jan-2020","EQ","7,148.80","7,210.00","7,111.25","7,147.10","7,130.00","7,128.45","7,154.51","7,758.70","5,446.05",645723,"4,619,831,010.25",50530
"23-Jan-2020","EQ","7,145.40","7,220.00","7,123.15","7,135.60","7,132.95","7,147.10","7,163.31","7,758.70","5,446.05",589326,"4,221,523,381.85",43298
"22-Jan-2020","EQ","7,340.00","7,374.95","7,107.95","7,302.65","7,145.00","7,135.60","7,165.57","7,758.70","5,446.05",1048435,"7,512,636,152.90",88307
"21-Jan-2020","EQ","7,411.50","7,434.65","7,287.80","7,449.60","7,297.90","7,302.65","7,350.84","7,758.70","5,446.05",442561,"3,253,196,112.05",36589
"20-Jan-2020","EQ","7,521.25","7,529.50","7,421.05","7,520.15","7,440.00","7,449.60","7,468.19","7,758.70","5,446.05",407828,"3,045,737,844.20",37148
"17-Jan-2020","EQ","7,469.00","7,569.90","7,432.55","7,462.65","7,550.85","7,520.15","7,499.26","7,758.70","5,446.05",750738,"5,629,978,077.55",49650
"16-Jan-2020","EQ","7,456.50","7,521.00","7,421.20","7,482.95","7,469.90","7,462.65","7,466.23","7,758.70","5,446.05",640207,"4,779,933,299.20",45686
"15-Jan-2020","EQ","7,388.95","7,505.00","7,353.00","7,386.80","7,482.00","7,482.95","7,419.98","7,758.70","5,446.05",692726,"5,140,014,822.30",46714
"14-Jan-2020","EQ","7,355.00","7,412.40","7,325.60","7,352.70","7,390.00","7,386.80","7,377.09","7,758.70","5,446.05",548522,"4,046,494,825.80",46069
"13-Jan-2020","EQ","7,332.00","7,370.00","7,279.80","7,330.50","7,364.00","7,352.70","7,325.48","7,758.70","5,446.05",537399,"3,936,703,056.85",45690
"10-Jan-2020","EQ","7,261.40","7,349.90","7,234.40","7,227.90","7,329.00","7,330.50","7,299.43","7,758.70","5,446.05",747847,"5,458,857,956.80",59339
"09-Jan-2020","EQ","7,140.00","7,240.00","7,102.00","7,035.20","7,240.00","7,227.90","7,180.72","7,758.70","5,446.05",798184,"5,731,536,546.55",60422
"08-Jan-2020","EQ","7,060.00","7,116.65","6,980.45","7,073.60","7,035.00","7,035.20","7,034.09","7,758.70","5,446.05",793313,"5,580,233,047.20",54674
"07-Jan-2020","EQ","7,100.00","7,165.60","7,026.40","7,042.40","7,075.00","7,073.60","7,089.61","7,758.70","5,446.05",590500,"4,186,415,011.40",50872
"06-Jan-2020","EQ","7,200.00","7,210.00","7,026.50","7,254.25","7,032.00","7,042.40","7,074.03","7,758.70","5,446.05",748516,"5,295,028,129.05",64186
"03-Jan-2020","EQ","7,328.95","7,332.00","7,226.00","7,329.85","7,250.35","7,254.25","7,275.61","7,758.70","5,446.05",571967,"4,161,407,040.80",42037
"02-Jan-2020","EQ","7,327.60","7,368.00","7,312.00","7,311.70","7,316.45","7,329.85","7,339.32","7,758.70","5,446.05",616838,"4,527,173,729.35",51801
"01-Jan-2020","EQ","7,377.00","7,409.95","7,282.05","7,368.60","7,308.00","7,311.70","7,339.10","7,758.70","5,446.05",634725,"4,658,307,412.85",42182
"31-Dec-2019","EQ","7,412.50","7,412.50","7,355.25","7,416.25","7,370.00","7,368.60","7,377.02","7,758.70","5,446.05",560622,"4,135,721,059.70",40633
"30-Dec-2019","EQ","7,378.00","7,431.95","7,341.60","7,344.90","7,415.00","7,416.25","7,387.18","7,758.70","5,446.05",739631,"5,463,787,167.85",57365
"27-Dec-2019","EQ","7,268.00","7,368.50","7,251.40","7,240.90","7,354.20","7,344.90","7,302.96","7,758.70","5,446.05",665383,"4,859,265,146.05",44849
"26-Dec-2019","EQ","7,334.00","7,343.45","7,222.00","7,327.80","7,237.25","7,240.90","7,282.31","7,758.70","5,446.05",556360,"4,051,588,542.55",41162
"24-Dec-2019","EQ","7,397.00","7,423.70","7,302.00","7,360.90","7,319.50","7,327.80","7,373.16","7,758.70","5,446.05",850537,"6,271,144,686.50",66849
"23-Dec-2019","EQ","7,275.00","7,378.60","7,250.10","7,261.50","7,374.70","7,360.90","7,329.56","7,758.70","5,446.05",914067,"6,699,709,957.00",69493
"20-Dec-2019","EQ","7,240.65","7,304.35","7,227.50","7,240.65","7,255.00","7,261.50","7,265.58","7,949.75","5,446.05",679779,"4,938,990,587.70",68095
"19-Dec-2019","EQ","7,248.95","7,310.00","7,166.00","7,240.65","7,230.00","7,240.65","7,262.25","7,949.75","5,446.05",1001697,"7,274,577,372.10",69342
"18-Dec-2019","EQ","7,220.00","7,254.95","7,164.00","7,195.15","7,240.05","7,240.65","7,209.42","7,949.75","5,446.05",841740,"6,068,461,334.75",61450
"17-Dec-2019","EQ","7,209.90","7,276.50","7,166.00","7,140.05","7,189.10","7,195.15","7,211.21","7,949.75","5,446.05",939918,"6,777,942,085.30",79678
"16-Dec-2019","EQ","7,240.00","7,257.70","7,125.00","7,214.95","7,134.95","7,140.05","7,183.39","7,949.75","5,446.05",727854,"5,228,458,868.55",59941
"13-Dec-2019","EQ","7,043.95","7,249.00","7,030.15","6,999.80","7,242.00","7,214.95","7,143.20","7,949.75","5,446.05",1199360,"8,567,268,416.95",105681
"12-Dec-2019","EQ","7,030.40","7,045.95","6,975.50","6,993.20","7,000.00","6,999.80","7,003.06","7,949.75","5,446.05",932863,"6,532,893,219.80",56242
"11-Dec-2019","EQ","7,000.00","7,035.00","6,955.20","6,963.65","6,985.85","6,993.20","6,993.48","7,949.75","5,446.05",603048,"4,217,403,800.50",56994
"10-Dec-2019","EQ","7,019.00","7,048.95","6,905.00","6,994.75","6,982.15","6,963.65","6,969.35","7,949.75","5,446.05",790378,"5,508,420,269.85",68946
"09-Dec-2019","EQ","7,007.00","7,108.00","6,952.35","6,886.70","7,011.95","6,994.75","7,023.88","7,949.75","5,446.05",1479832,"10,394,166,354.70",115549
"06-Dec-2019","EQ","7,012.85","7,050.00","6,864.10","7,012.85","6,886.75","6,886.70","6,950.34","7,949.75","5,446.05",770911,"5,358,089,807.75",69329
"05-Dec-2019","EQ","7,090.00","7,125.15","6,990.55","7,076.10","6,995.00","7,012.85","7,056.26","7,949.75","5,446.05",602894,"4,254,176,128.55",53458
"04-Dec-2019","EQ","7,129.80","7,170.00","7,052.00","7,138.80","7,076.10","7,076.10","7,101.76","7,949.75","5,446.05",737723,"5,239,134,460.05",57207
"03-Dec-2019","EQ","7,142.65","7,240.00","7,060.00","7,139.35","7,127.50","7,138.80","7,161.86","7,949.75","5,446.05",668269,"4,786,049,338.35",53077
"02-Dec-2019","EQ","7,291.00","7,294.85","7,106.75","7,245.85","7,129.00","7,139.35","7,174.28","7,949.75","5,446.05",703838,"5,049,534,364.55",54287
"29-Nov-2019","EQ","7,254.00","7,293.85","7,132.00","7,261.25","7,253.35","7,245.85","7,215.71","7,949.75","5,446.05",792083,"5,715,439,563.35",63587
"28-Nov-2019","EQ","7,299.80","7,321.10","7,220.95","7,294.40","7,255.65","7,261.25","7,260.77","7,949.75","5,446.05",602077,"4,371,543,716.80",47860
"27-Nov-2019","EQ","7,166.60","7,300.00","7,166.60","7,125.00","7,299.00","7,294.40","7,254.47","7,949.75","5,446.05",1070680,"7,767,211,209.75",86402
"26-Nov-2019","EQ","7,238.00","7,274.00","7,084.00","7,236.10","7,130.00","7,125.00","7,171.27","7,949.75","5,446.05",1249810,"8,962,724,392.30",94714
"25-Nov-2019","EQ","7,075.20","7,263.50","7,040.30","7,060.45","7,238.00","7,236.10","7,180.61","7,949.75","5,446.05",952419,"6,838,953,466.15",81904
"22-Nov-2019","EQ","7,034.00","7,077.45","7,000.00","7,019.05","7,065.00","7,060.45","7,041.13","7,949.75","5,446.05",685503,"4,826,718,519.80",54409
"21-Nov-2019","EQ","7,150.00","7,200.00","7,004.80","7,152.75","7,017.00","7,019.05","7,106.45","7,949.75","5,446.05",763454,"5,425,444,943.40",67829
"20-Nov-2019","EQ","7,120.00","7,218.00","7,044.00","7,045.45","7,120.00","7,152.75","7,144.30","7,949.75","5,446.05",1289948,"9,215,771,943.10",93566
"19-Nov-2019","EQ","7,146.00","7,155.00","7,032.00","7,098.45","7,054.00","7,045.45","7,078.54","7,949.75","5,446.05",755114,"5,345,101,655.45",82585
"18-Nov-2019","EQ","7,150.00","7,177.00","7,075.00","7,147.20","7,105.05","7,098.45","7,120.09","7,949.75","5,446.05",537228,"3,825,113,892.85",48810
"15-Nov-2019","EQ","7,300.00","7,359.00","7,116.20","7,247.15","7,140.00","7,147.20","7,248.07","7,949.75","5,446.05",1049492,"7,606,787,177.65",86228
"14-Nov-2019","EQ","7,160.00","7,270.00","7,160.00","7,154.60","7,246.00","7,247.15","7,232.45","7,949.75","5,446.05",802462,"5,803,765,744.80",68287
"13-Nov-2019","EQ","7,130.00","7,169.85","7,095.00","7,137.30","7,145.00","7,154.60","7,133.06","7,949.75","5,446.05",687017,"4,900,533,229.70",59645
"11-Nov-2019","EQ","7,160.00","7,237.45","7,074.00","7,200.55","7,121.30","7,137.30","7,137.71","7,949.75","5,446.05",864507,"6,170,601,866.10",82023
"08-Nov-2019","EQ","7,286.45","7,370.00","7,178.05","7,287.15","7,192.65","7,200.55","7,286.11","7,949.75","5,446.05",983936,"7,169,066,091.90",75540
"07-Nov-2019","EQ","7,357.00","7,357.00","7,241.00","7,311.15","7,292.10","7,287.15","7,286.46","7,949.75","5,446.05",877885,"6,396,671,247.55",75660
"06-Nov-2019","EQ","7,395.00","7,415.00","7,295.00","7,389.00","7,310.00","7,311.15","7,338.92","7,949.75","5,446.05",923041,"6,774,124,387.20",76497
"05-Nov-2019","EQ","7,429.95","7,541.95","7,325.00","7,424.00","7,395.95","7,389.00","7,421.46","7,949.75","5,446.05",1207089,"8,958,357,460.85",100603
"04-Nov-2019","EQ","7,550.00","7,625.00","7,407.45","7,618.65","7,429.95","7,424.00","7,494.28","7,949.75","5,446.05",824953,"6,182,428,853.75",75458
"01-Nov-2019","EQ","7,599.95","7,649.00","7,545.10","7,559.40","7,602.00","7,618.65","7,603.25","7,949.75","5,446.05",1151035,"8,751,611,320.35",95019
"31-Oct-2019","EQ","7,612.90","7,645.00","7,502.00","7,556.95","7,559.45","7,559.40","7,568.25","7,949.75","5,446.05",1067275,"8,077,406,378.60",109160
"30-Oct-2019","EQ","7,744.00","7,753.65","7,539.70","7,721.30","7,562.00","7,556.95","7,625.75","7,949.75","5,446.05",1243366,"9,481,592,083.20",127442
"29-Oct-2019","EQ","7,416.00","7,758.70","7,381.85","7,422.10","7,750.00","7,721.30","7,612.92","7,949.75","5,446.05",1396732,"10,633,212,797.45",157536
"27-Oct-2019","EQ","7,477.00","7,500.00","7,392.05","7,471.15","7,412.00","7,422.10","7,444.90","7,949.75","5,446.05",128352,"955,568,179.00",12869
"25-Oct-2019","EQ","7,396.50","7,509.00","7,353.85","7,391.40","7,460.30","7,471.15","7,442.20","7,949.75","5,446.05",1353615,"10,073,877,372.65",164781
"24-Oct-2019","EQ","7,460.00","7,475.00","7,271.00","7,440.25","7,390.00","7,391.40","7,386.60","7,949.75","5,446.05",1658859,"12,253,327,172.30",157094
"23-Oct-2019","EQ","7,201.05","7,472.00","7,200.00","7,256.25","7,415.20","7,440.25","7,381.04","7,949.75","5,446.05",1278695,"9,438,098,512.75",103063
"22-Oct-2019","EQ","7,333.00","7,392.00","7,232.00","7,302.30","7,262.25","7,256.25","7,313.80","7,949.75","5,446.05",959552,"7,017,969,456.70",90739
