"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","58,225.00","59,200.00","58,000.00","58,712.35","58,750.30","58,805.40","58,636.89","73,565.70","49,915.10",8119,"476,072,941.85",5355
"23-Apr-2020","EQ","58,547.00","59,341.85","58,500.00","58,221.95","58,690.00","58,712.35","58,898.77","73,565.70","49,915.10",8688,"511,712,548.40",5458
"22-Apr-2020","EQ","58,875.00","59,489.90","57,829.00","58,864.75","58,198.00","58,221.95","58,572.97","73,565.70","49,915.10",14951,"875,724,406.20",9860
"21-Apr-2020","EQ","60,500.00","60,793.60","58,500.70","61,384.00","58,750.00","58,864.75","59,539.79","73,565.70","49,915.10",12670,"754,369,109.20",8044
"20-Apr-2020","EQ","62,000.00","62,000.00","61,150.00","61,638.30","61,200.00","61,384.00","61,571.11","73,565.70","49,915.10",9847,"606,290,688.30",6478
"17-Apr-2020","EQ","61,541.90","62,340.00","61,000.00","60,441.90","61,135.55","61,638.30","61,605.36","73,565.70","49,915.10",15847,"976,260,190.45",10960
"16-Apr-2020","EQ","57,390.00","62,000.00","57,012.10","57,417.75","60,999.85","60,441.90","59,099.82","73,565.70","49,915.10",22062,"1,303,860,148.80",14368
"15-Apr-2020","EQ","58,500.00","58,500.00","56,760.00","57,399.20","57,400.00","57,417.75","57,543.31","73,565.70","49,915.10",17187,"988,996,918.90",10921
"13-Apr-2020","EQ","59,500.00","59,831.40","57,101.00","60,017.90","57,103.00","57,399.20","58,252.55","73,565.70","49,915.10",13752,"801,089,095.55",9793
"09-Apr-2020","EQ","58,599.00","60,460.05","57,700.20","57,172.75","60,430.00","60,017.90","59,246.73","73,565.70","49,915.10",17980,"1,065,256,214.65",11689
"08-Apr-2020","EQ","56,600.00","59,500.00","56,300.00","57,701.05","57,005.00","57,172.75","57,972.27","73,565.70","49,915.10",15231,"882,975,712.10",10247
"07-Apr-2020","EQ","56,500.00","58,088.00","56,055.05","55,062.25","58,050.00","57,701.05","57,328.14","73,565.70","49,915.10",18689,"1,071,405,602.00",11657
"03-Apr-2020","EQ","55,600.00","56,200.00","54,500.00","55,108.85","54,997.50","55,062.25","55,162.31","73,565.70","49,915.10",33126,"1,827,306,599.45",8631
"01-Apr-2020","EQ","57,900.00","57,900.00","54,675.45","58,164.45","55,150.00","55,108.85","55,396.15","73,565.70","49,915.10",20661,"1,144,539,945.35",10504
"31-Mar-2020","EQ","54,600.00","59,312.00","54,121.05","54,375.70","58,600.00","58,164.45","55,811.30","73,565.70","49,915.10",25755,"1,437,420,042.10",10197
"30-Mar-2020","EQ","54,700.00","55,270.00","53,522.90","56,371.25","54,020.00","54,375.70","54,439.27","73,565.70","49,915.10",39105,"2,128,847,730.20",10718
"27-Mar-2020","EQ","57,940.00","58,200.00","53,620.00","55,343.75","56,033.45","56,371.25","55,946.25","73,565.70","49,915.10",15883,"888,594,316.30",11987
"26-Mar-2020","EQ","56,600.00","60,742.65","54,900.00","56,579.25","55,250.00","55,343.75","57,559.71","73,565.70","49,915.10",16476,"948,353,733.65",12539
"25-Mar-2020","EQ","50,155.55","57,700.00","50,155.55","52,597.70","56,368.85","56,579.25","54,491.88","73,565.70","49,915.10",16480,"898,026,125.15",9876
"24-Mar-2020","EQ","55,000.00","55,000.00","49,915.10","51,970.25","52,600.00","52,597.70","52,485.84","73,565.70","49,915.10",15772,"827,806,669.65",11288
"23-Mar-2020","EQ","55,905.00","56,998.85","51,500.00","58,988.95","52,000.00","51,970.25","53,417.15","73,565.70","51,500.00",20515,"1,095,852,865.40",8475
"20-Mar-2020","EQ","58,199.95","61,111.10","57,534.70","57,803.75","58,800.00","58,988.95","59,438.96","73,565.70","51,586.30",12333,"733,060,688.40",8163
"19-Mar-2020","EQ","58,950.00","59,870.00","56,950.50","59,921.15","57,808.85","57,803.75","58,311.76","73,565.70","51,586.30",18082,"1,054,393,307.90",11932
"18-Mar-2020","EQ","62,899.95","63,395.10","59,200.00","62,140.70","60,000.00","59,921.15","60,460.92","73,565.70","51,586.30",12224,"739,074,287.85",7871
"17-Mar-2020","EQ","61,295.05","63,749.80","60,350.05","61,295.05","61,850.05","62,140.70","62,330.94","73,565.70","51,586.30",14677,"914,831,221.65",9231
"16-Mar-2020","EQ","62,000.00","63,899.85","60,309.05","65,929.35","61,148.10","61,295.05","62,569.75","73,565.70","51,586.30",11325,"708,602,427.15",8320
"13-Mar-2020","EQ","56,030.00","66,300.00","56,030.00","60,555.25","65,985.00","65,929.35","62,652.96","73,565.70","51,586.30",15213,"953,139,450.65",9705
"12-Mar-2020","EQ","62,001.00","62,888.20","58,000.00","63,589.85","60,800.05","60,555.25","60,760.62","73,565.70","51,586.30",17337,"1,053,406,893.65",10471
"11-Mar-2020","EQ","64,200.00","65,687.30","62,703.00","64,261.85","63,304.10","63,589.85","63,640.54","73,565.70","51,586.30",15621,"994,128,924.85",9050
"09-Mar-2020","EQ","65,800.00","65,800.00","63,052.45","66,348.15","64,050.35","64,261.85","64,383.43","73,565.70","51,586.30",9596,"617,823,350.40",6054
"06-Mar-2020","EQ","66,389.00","66,500.20","63,858.55","67,325.15","66,450.00","66,348.15","65,718.23","73,565.70","51,586.30",9851,"647,390,290.60",6019
"05-Mar-2020","EQ","67,300.05","68,169.90","66,809.50","67,053.35","67,500.00","67,325.15","67,476.49","73,565.70","51,586.30",5745,"387,652,448.60",3748
"04-Mar-2020","EQ","67,270.00","67,698.80","66,100.00","67,740.70","66,900.00","67,053.35","66,778.30","73,565.70","51,586.30",8187,"546,713,963.20",5557
"03-Mar-2020","EQ","66,799.00","68,558.35","65,600.00","65,976.30","67,538.35","67,740.70","66,889.93","73,565.70","51,586.30",8202,"548,631,205.20",5618
"02-Mar-2020","EQ","66,891.00","67,595.90","65,551.00","66,393.20","65,900.00","65,976.30","66,740.93","73,565.70","51,586.30",6419,"428,410,051.55",4652
"28-Feb-2020","EQ","66,400.00","67,296.65","65,315.00","67,559.45","66,111.00","66,393.20","66,154.10","73,565.70","51,586.30",11768,"778,501,435.25",7361
"27-Feb-2020","EQ","68,180.00","68,339.95","66,730.70","68,140.00","67,800.00","67,559.45","67,338.71","73,565.70","51,586.30",6856,"461,674,171.15",4351
"26-Feb-2020","EQ","69,134.00","69,403.95","67,850.00","69,133.45","67,850.00","68,140.00","68,562.44","73,565.70","51,586.30",5155,"353,439,378.20",3292
"25-Feb-2020","EQ","69,100.00","69,798.90","68,500.00","68,874.70","69,150.00","69,133.45","69,053.65","73,565.70","51,586.30",6211,"428,892,214.80",4394
"24-Feb-2020","EQ","70,888.00","70,888.00","68,500.15","70,789.50","69,000.00","68,874.70","69,735.80","73,565.70","51,586.30",4295,"299,515,264.55",3124
"20-Feb-2020","EQ","69,959.30","71,232.60","69,751.10","69,959.30","70,740.05","70,789.50","70,727.90","73,565.70","51,586.30",8466,"598,782,365.00",5137
"19-Feb-2020","EQ","70,290.00","70,437.15","69,500.00","69,693.60","69,900.05","69,959.30","69,906.02","73,565.70","51,586.30",5731,"400,631,385.75",4011
"18-Feb-2020","EQ","71,500.00","71,500.00","69,525.00","71,299.80","69,608.55","69,693.60","70,083.78","73,565.70","51,586.30",9604,"673,084,613.45",5411
"17-Feb-2020","EQ","71,800.00","72,333.00","71,200.00","71,799.20","71,365.00","71,299.80","71,525.62","73,565.70","51,586.30",3950,"282,526,199.30",2686
"14-Feb-2020","EQ","71,800.00","72,519.20","71,100.00","71,525.15","71,592.20","71,799.20","71,870.74","73,565.70","51,586.30",7017,"504,316,990.90",4940
"13-Feb-2020","EQ","71,967.00","71,967.00","70,901.10","71,675.95","71,699.95","71,525.15","71,359.95","73,565.70","51,586.30",5184,"369,929,971.70",2767
"12-Feb-2020","EQ","71,755.00","72,809.30","71,400.00","71,381.70","71,600.00","71,675.95","71,757.84","73,565.70","51,586.30",5903,"423,586,538.70",3725
"11-Feb-2020","EQ","73,200.00","73,500.00","71,111.00","73,247.90","71,406.00","71,381.70","72,082.79","73,565.70","51,586.30",13405,"966,269,739.35",8808
"10-Feb-2020","EQ","71,490.00","73,500.00","69,800.00","70,960.45","73,300.00","73,247.90","71,719.21","73,565.70","51,586.30",29310,"2,102,090,160.80",18182
