"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jun-2020","EQ","1,544.00","1,589.50","1,541.00","1,541.65","1,576.00","1,579.80","1,570.24","1,617.55","875.65",15784612,"24,785,560,880.55",356122
"03-Jun-2020","EQ","1,545.00","1,560.00","1,533.35","1,535.70","1,543.00","1,541.65","1,543.74","1,617.55","875.65",11713666,"18,082,824,556.40",227825
"02-Jun-2020","EQ","1,526.00","1,540.00","1,520.80","1,520.35","1,537.95","1,535.70","1,531.68","1,617.55","875.65",10224102,"15,660,044,883.85",224472
"01-Jun-2020","EQ","1,480.00","1,538.35","1,475.95","1,464.40","1,521.90","1,520.35","1,512.99","1,617.55","875.65",18434065,"27,890,475,620.10",354436
"29-May-2020","EQ","1,468.00","1,472.00","1,452.65","1,472.25","1,470.00","1,464.40","1,462.79","1,617.55","875.65",18471770,"27,020,285,851.40",300018
"28-May-2020","EQ","1,455.00","1,479.75","1,449.00","1,445.55","1,471.05","1,472.25","1,467.50","1,617.55","875.65",18519252,"27,176,980,636.40",405603
"27-May-2020","EQ","1,431.00","1,454.00","1,412.00","1,424.05","1,449.85","1,445.55","1,430.20","1,617.55","875.65",16460764,"23,542,230,514.25",348477
"26-May-2020","EQ","1,448.15","1,449.70","1,416.30","1,431.55","1,426.00","1,424.05","1,428.70","1,617.55","875.65",15330793,"21,903,166,112.45",341795
"22-May-2020","EQ","1,451.80","1,458.00","1,426.50","1,441.25","1,433.00","1,431.55","1,442.31","1,617.55","875.65",17458503,"25,180,593,225.25",388907
"21-May-2020","EQ","1,435.00","1,461.45","1,425.00","1,433.70","1,440.00","1,441.25","1,443.94","1,617.55","875.65",18077196,"26,102,458,753.25",353235
"20-May-2020","EQ","1,410.00","1,446.85","1,393.00","1,408.90","1,437.40","1,433.70","1,426.52","1,617.55","875.65",25530692,"36,419,940,581.50",446373
"19-May-2020","EQ","1,457.00","1,461.70","1,403.25","1,440.75","1,409.10","1,408.90","1,436.68","1,617.55","875.65",19529216,"28,057,214,575.20",424987
"18-May-2020","EQ","1,470.00","1,482.00","1,428.00","1,459.40","1,442.55","1,440.75","1,452.86","1,617.55","875.65",28981620,"42,106,270,200.25",575336
"15-May-2020","EQ","1,444.00","1,466.70","1,415.10","1,435.95","1,453.20","1,459.40","1,439.85","1,617.55","875.65",28683432,"41,299,828,010.10",592403
"14-May-2020","EQ","1,469.00","1,496.70","1,430.05","1,496.45","1,437.00","1,435.95","1,457.61","1,617.55","875.65",22736714,"33,141,191,470.35",494402
"13-May-2020","EQ","1,527.00","1,527.00","1,454.00","1,479.25","1,492.50","1,496.45","1,481.10","1,617.55","875.65",30658051,"45,407,632,804.00",615366
"12-May-2020","EQ","1,564.80","1,568.35","1,465.00","1,576.80","1,486.45","1,479.25","1,511.39","1,617.55","875.65",46029119,"69,568,011,663.15",807575
"11-May-2020","EQ","1,580.00","1,615.00","1,572.30","1,561.80","1,575.00","1,576.80","1,592.89","1,617.55","875.65",30670404,"48,854,566,347.85",576001
"08-May-2020","EQ","1,545.00","1,579.90","1,537.10","1,506.95","1,559.45","1,561.80","1,560.62","1,617.55","875.65",38522385,"60,118,628,770.50",727915
"07-May-2020","EQ","1,455.00","1,513.65","1,445.00","1,460.75","1,512.00","1,506.95","1,484.86","1,617.55","875.65",22871529,"33,961,065,996.95",465254
"06-May-2020","EQ","1,464.00","1,484.95","1,445.50","1,460.65","1,461.50","1,460.75","1,468.54","1,617.55","875.65",18510304,"27,183,196,663.05",425042
"05-May-2020","EQ","1,453.70","1,479.00","1,447.20","1,435.20","1,462.65","1,460.65","1,464.23","1,617.55","875.65",20528706,"30,058,697,949.35",412545
