"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","75.00","76.90","74.00","75.65","74.30","74.20","75.51","239.35","63.50",40054235,"3,024,343,540.85",129250
"23-Apr-2020","EQ","76.75","78.65","75.40","75.90","75.90","75.65","76.94","239.35","63.50",50372620,"3,875,896,447.15",161989
"22-Apr-2020","EQ","74.45","76.55","72.55","74.65","76.15","75.90","74.34","239.35","63.50",56529909,"4,202,665,230.00",183754
"21-Apr-2020","EQ","78.00","78.00","74.00","80.45","74.45","74.65","75.47","239.35","63.50",58249560,"4,396,212,525.25",223568
"20-Apr-2020","EQ","76.85","83.40","75.50","76.85","80.10","80.45","80.94","239.35","63.50",125427754,"10,152,471,072.75",400016
"17-Apr-2020","EQ","78.30","78.30","74.70","74.65","76.85","76.85","76.11","239.35","63.50",58336227,"4,440,093,616.10",186796
"16-Apr-2020","EQ","71.75","75.40","71.00","72.90","75.10","74.65","73.69","239.35","63.50",47910556,"3,530,429,563.40",152202
"15-Apr-2020","EQ","75.40","78.70","71.95","74.25","73.10","72.90","75.43","239.35","63.50",81126343,"6,119,055,679.55",277572
"13-Apr-2020","EQ","76.00","77.60","72.70","74.60","74.50","74.25","74.47","239.35","63.50",70414018,"5,243,381,173.05",256322
"09-Apr-2020","EQ","69.60","76.25","69.10","67.60","74.50","74.60","73.81","239.35","63.50",112680750,"8,317,423,006.45",350425
"08-Apr-2020","EQ","66.50","71.60","65.40","67.25","67.75","67.60","68.76","239.35","63.50",82182403,"5,651,185,283.15",248580
"07-Apr-2020","EQ","68.55","69.30","66.90","65.30","67.20","67.25","67.81","239.35","63.50",42070735,"2,852,689,753.50",149087
"03-Apr-2020","EQ","66.90","66.90","64.80","67.95","65.45","65.30","65.50","239.35","63.50",35346490,"2,315,141,908.30",161810
"01-Apr-2020","EQ","70.50","71.65","67.55","71.05","67.95","67.95","69.14","239.35","63.50",38167981,"2,639,050,316.25",158063
"31-Mar-2020","EQ","70.60","71.50","68.20","68.15","70.75","71.05","70.08","239.35","63.50",46166723,"3,235,587,579.60",176816
"30-Mar-2020","EQ","68.80","70.00","67.25","70.70","68.40","68.15","68.60","239.35","63.50",35278179,"2,420,105,926.65",145591
"27-Mar-2020","EQ","72.05","75.90","69.35","70.80","70.70","70.70","72.09","239.35","63.50",58824452,"4,240,753,903.30",221468
"26-Mar-2020","EQ","71.45","73.50","68.30","70.25","70.95","70.80","70.90","239.35","63.50",63822905,"4,525,109,545.40",240944
"25-Mar-2020","EQ","67.75","71.70","67.25","68.55","70.10","70.25","69.25","239.35","63.50",57716006,"3,996,750,125.95",221008
"24-Mar-2020","EQ","69.90","71.50","63.50","66.20","68.95","68.55","67.98","239.35","63.50",49553202,"3,368,402,736.20",231290
"23-Mar-2020","EQ","70.00","72.00","66.00","77.30","66.70","66.20","68.84","239.35","66.00",34184331,"2,353,225,185.20",205748
"20-Mar-2020","EQ","74.00","79.60","72.65","72.95","77.80","77.30","76.07","239.35","68.75",86044637,"6,545,378,298.55",260134
"19-Mar-2020","EQ","70.00","76.50","68.75","75.50","72.90","72.95","72.83","239.35","68.75",68124538,"4,961,345,452.90",258513
"18-Mar-2020","EQ","79.90","80.45","75.10","77.95","75.40","75.50","77.29","239.35","75.10",70134169,"5,420,935,074.25",255759
"17-Mar-2020","EQ","83.05","85.00","77.40","82.95","77.50","77.95","81.57","239.35","77.40",71849223,"5,860,881,651.10",294238
"16-Mar-2020","EQ","85.60","87.65","82.20","89.75","82.60","82.95","84.99","239.35","78.05",73707690,"6,264,695,282.20",280638
"13-Mar-2020","EQ","81.90","94.15","78.05","88.00","90.50","89.75","87.17","239.35","78.05",106153102,"9,253,211,498.25",428426
"12-Mar-2020","EQ","91.10","94.90","84.10","98.90","88.95","88.00","89.33","239.35","84.10",143551005,"12,823,134,333.10",483314
"11-Mar-2020","EQ","104.85","106.50","97.80","105.70","98.35","98.90","101.88","239.35","97.80",111148611,"11,323,926,446.30",335274
"09-Mar-2020","EQ","109.00","109.85","104.25","114.20","104.90","105.70","107.19","239.35","104.25",81550460,"8,741,634,311.05",284834
"06-Mar-2020","EQ","115.00","117.30","112.80","125.75","113.80","114.20","114.92","239.35","106.00",83971462,"9,649,959,731.30",331758
"05-Mar-2020","EQ","127.55","129.15","124.25","126.20","124.75","125.75","126.45","239.35","106.00",87795649,"11,102,025,232.35",268826
"04-Mar-2020","EQ","129.60","129.60","120.55","130.35","126.40","126.20","124.90","239.35","106.00",97546902,"12,183,611,418.40",294498
"03-Mar-2020","EQ","127.50","131.40","125.25","125.40","130.40","130.35","127.87","239.35","106.00",86765576,"11,094,977,773.95",287946
"02-Mar-2020","EQ","133.00","133.90","123.80","128.95","125.10","125.40","128.88","239.35","106.00",111585697,"14,381,475,114.05",340443
"28-Feb-2020","EQ","138.85","139.60","127.05","145.25","129.65","128.95","132.43","239.35","106.00",94469619,"12,510,276,083.70",341462
"27-Feb-2020","EQ","144.15","146.75","141.10","144.55","145.30","145.25","143.41","239.35","106.00",51328153,"7,361,202,476.30",180842
"26-Feb-2020","EQ","146.90","147.90","143.70","149.90","144.50","144.55","145.64","239.35","106.00",47605927,"6,933,104,207.95",218833
"25-Feb-2020","EQ","152.20","153.40","147.45","150.65","150.45","149.90","149.93","239.35","106.00",52719851,"7,904,055,121.55",199104
"24-Feb-2020","EQ","154.00","155.90","149.60","158.50","150.60","150.65","153.41","239.35","106.00",39706007,"6,091,447,107.90",191095
"20-Feb-2020","EQ","157.95","162.30","156.00","158.05","158.75","158.50","159.44","239.35","106.00",54328194,"8,662,156,731.75",205410
"19-Feb-2020","EQ","162.85","164.60","153.05","161.60","158.10","158.05","157.33","239.35","106.00",78914233,"12,415,430,958.40",321799
"18-Feb-2020","EQ","168.00","168.00","158.60","169.10","162.55","161.60","162.25","239.35","106.00",52744122,"8,557,786,349.95",208214
"17-Feb-2020","EQ","170.40","171.35","166.35","169.10","170.00","169.10","168.83","239.35","106.00",32893274,"5,553,481,163.50",142023
"14-Feb-2020","EQ","172.00","176.20","168.30","169.50","169.65","169.10","172.52","239.35","106.00",56676430,"9,777,617,788.55",233526
"13-Feb-2020","EQ","171.35","172.35","168.10","170.95","169.65","169.50","169.70","239.35","106.00",25049848,"4,250,882,168.25",99951
"12-Feb-2020","EQ","173.00","173.30","169.00","169.75","171.10","170.95","170.83","239.35","106.00",34621395,"5,914,262,730.25",136834
