"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","522.00","532.60","502.10","523.70","505.00","503.45","515.87","846.50","471.40",4817932,"2,485,403,149.95",105289
"23-Apr-2020","EQ","519.00","527.85","509.30","518.30","522.00","523.70","517.69","846.50","471.40",6096448,"3,156,090,251.90",109439
"22-Apr-2020","EQ","512.00","521.90","507.05","512.95","520.50","518.30","517.41","846.50","471.40",2268503,"1,173,747,973.05",61020
"21-Apr-2020","EQ","511.00","520.00","505.90","524.85","512.15","512.95","513.04","846.50","471.40",2950307,"1,513,638,756.00",76480
"20-Apr-2020","EQ","517.95","531.90","512.00","509.85","524.10","524.85","523.98","846.50","471.40",4549099,"2,383,634,277.25",95346
"17-Apr-2020","EQ","529.10","532.00","500.00","517.65","511.00","509.85","508.08","846.50","471.40",10839905,"5,507,505,785.90",220131
"16-Apr-2020","EQ","527.00","530.00","508.35","538.65","518.25","517.65","515.94","846.50","471.40",7001494,"3,612,354,270.70",220623
"15-Apr-2020","EQ","528.00","548.60","528.00","526.85","536.75","538.65","539.17","846.50","471.40",6316300,"3,405,558,990.50",119521
"13-Apr-2020","EQ","551.00","551.00","521.75","545.25","528.00","526.85","528.94","846.50","471.40",3822647,"2,021,961,331.65",77923
"09-Apr-2020","EQ","570.00","582.70","537.55","558.90","547.00","545.25","548.36","846.50","471.40",5917546,"3,244,961,398.40",100004
"08-Apr-2020","EQ","539.95","569.80","537.00","549.85","555.30","558.90","560.61","846.50","471.40",4113059,"2,305,815,828.10",91104
"07-Apr-2020","EQ","536.50","557.65","535.75","520.90","547.00","549.85","545.87","846.50","471.40",3532484,"1,928,267,203.30",87997
"03-Apr-2020","EQ","513.75","533.15","510.10","511.20","524.00","520.90","521.07","846.50","471.40",5826215,"3,035,871,695.15",126608
"01-Apr-2020","EQ","560.00","560.30","510.00","565.50","512.35","511.20","526.83","846.50","471.40",4114437,"2,167,600,229.35",98040
"31-Mar-2020","EQ","537.00","575.25","527.85","526.80","562.00","565.50","549.27","846.50","471.40",3652957,"2,006,445,137.15",77375
"30-Mar-2020","EQ","494.00","532.35","485.65","504.10","528.00","526.80","522.26","846.50","471.40",4138338,"2,161,296,123.90",98545
"27-Mar-2020","EQ","525.00","538.80","498.00","515.20","500.50","504.10","515.34","846.50","471.40",4672189,"2,407,767,505.90",84744
"26-Mar-2020","EQ","539.35","564.90","513.00","526.70","519.90","515.20","526.81","846.50","471.40",5979874,"3,150,274,656.50",115495
"25-Mar-2020","EQ","509.00","542.85","507.05","503.50","525.00","526.70","523.91","846.50","471.40",3664272,"1,919,732,607.70",94678
"24-Mar-2020","EQ","487.00","533.95","487.00","487.20","498.00","503.50","508.37","846.50","471.40",4082147,"2,075,254,661.70",129792
"23-Mar-2020","EQ","540.00","542.00","471.40","576.35","494.90","487.20","516.26","846.50","471.40",2912769,"1,503,732,872.85",82821
"20-Mar-2020","EQ","525.10","595.45","525.10","530.00","567.00","576.35","568.65","846.50","523.00",6316078,"3,591,614,181.90",117417
"19-Mar-2020","EQ","549.65","577.65","523.00","579.65","538.80","530.00","546.39","846.50","523.00",4932164,"2,694,861,622.75",108237
"18-Mar-2020","EQ","600.00","611.25","570.65","595.45","581.00","579.65","591.47","846.50","525.90",3548532,"2,098,833,639.55",85476
"17-Mar-2020","EQ","600.00","617.95","583.30","603.40","600.00","595.45","605.24","846.50","525.90",3333751,"2,017,728,863.40",91710
"16-Mar-2020","EQ","634.80","634.80","591.00","655.95","609.90","603.40","608.99","846.50","525.90",6499358,"3,958,056,619.55",123457
"13-Mar-2020","EQ","603.25","670.00","525.90","649.85","663.25","655.95","628.93","846.50","525.90",4553639,"2,863,925,382.80",115937
"12-Mar-2020","EQ","676.00","690.00","637.10","708.55","650.00","649.85","657.02","846.50","607.15",3796969,"2,494,693,877.05",91235
"11-Mar-2020","EQ","681.00","713.90","666.00","704.80","710.80","708.55","700.07","846.50","607.15",4626235,"3,238,694,414.15",104365
"09-Mar-2020","EQ","715.00","730.00","696.55","740.40","703.75","704.80","708.12","846.50","607.15",3429034,"2,428,157,421.05",122068
"06-Mar-2020","EQ","746.10","749.75","731.40","756.10","741.20","740.40","742.60","846.50","607.15",2004893,"1,488,833,609.75",65797
"05-Mar-2020","EQ","769.95","784.00","752.35","771.30","758.15","756.10","770.61","846.50","607.15",2126955,"1,639,063,056.30",94840
"04-Mar-2020","EQ","754.00","774.85","748.00","752.30","770.00","771.30","760.28","846.50","607.15",2685540,"2,041,752,643.30",87743
"03-Mar-2020","EQ","750.00","757.65","742.10","744.55","755.20","752.30","749.25","846.50","607.15",2168900,"1,625,039,056.60",53848
"02-Mar-2020","EQ","742.00","754.45","734.40","744.40","744.40","744.55","745.05","846.50","607.15",3784522,"2,819,652,716.45",99512
"28-Feb-2020","EQ","789.80","808.00","732.05","809.15","746.25","744.40","754.08","846.50","607.15",5959364,"4,493,839,991.10",129459
"27-Feb-2020","EQ","807.00","819.70","800.20","811.45","808.35","809.15","807.52","846.50","607.15",1907768,"1,540,558,959.05",68391
"26-Feb-2020","EQ","820.00","825.50","808.20","822.10","811.00","811.45","817.38","846.50","607.15",2212784,"1,808,686,905.90",73034
"25-Feb-2020","EQ","822.00","826.80","809.05","820.10","824.95","822.10","817.14","846.50","607.15",2479975,"2,026,488,864.70",67477
"24-Feb-2020","EQ","828.95","843.90","815.75","829.60","822.00","820.10","832.88","846.50","607.15",2917544,"2,429,960,042.40",70947
"20-Feb-2020","EQ","840.15","845.90","826.95","840.90","827.45","829.60","836.04","846.50","607.15",1066232,"891,413,811.30",52260
"19-Feb-2020","EQ","839.00","844.85","836.05","838.80","842.00","840.90","840.39","846.50","607.15",881874,"741,116,722.35",46482
"18-Feb-2020","EQ","825.35","840.00","825.35","833.25","838.55","838.80","835.87","846.50","607.15",1507814,"1,260,330,527.15",47108
"17-Feb-2020","EQ","835.95","837.00","827.45","834.15","834.20","833.25","832.46","846.50","607.15",793328,"660,416,981.05",23477
"14-Feb-2020","EQ","827.00","838.00","825.05","828.00","833.00","834.15","833.86","846.50","607.15",2143044,"1,786,993,118.80",61957
"13-Feb-2020","EQ","822.80","830.00","814.35","821.50","828.00","828.00","820.38","846.50","607.15",1737974,"1,425,807,711.55",60849
"12-Feb-2020","EQ","820.00","826.45","816.80","819.95","821.10","821.50","822.35","846.50","607.15",1394424,"1,146,700,869.60",45526
"11-Feb-2020","EQ","813.00","821.85","811.05","813.65","821.00","819.95","816.48","846.50","607.15",1143705,"933,817,658.10",39211
"10-Feb-2020","EQ","827.00","827.10","811.50","824.45","812.50","813.65","815.58","846.50","607.15",1098971,"896,298,071.45",36704
"07-Feb-2020","EQ","817.70","825.45","814.25","817.70","822.65","824.45","820.73","846.50","607.15",1397438,"1,146,921,010.10",47565
"06-Feb-2020","EQ","812.70","825.95","810.05","814.05","817.00","817.70","819.05","846.50","607.15",1553656,"1,272,523,744.20",50057
"05-Feb-2020","EQ","810.00","816.00","807.00","811.10","811.95","814.05","811.94","846.50","607.15",1613898,"1,310,385,938.20",56554
"04-Feb-2020","EQ","794.30","813.00","794.30","793.15","811.00","811.10","807.49","846.50","607.15",1779834,"1,437,197,155.80",54008
"03-Feb-2020","EQ","808.00","818.70","790.50","807.55","793.20","793.15","807.99","846.50","607.15",3383074,"2,733,487,456.95",87563
"01-Feb-2020","EQ","796.95","812.00","765.70","796.60","807.00","807.55","792.93","846.50","607.15",6476968,"5,135,770,889.55",92958
"31-Jan-2020","EQ","796.85","802.50","783.00","791.35","800.00","796.60","794.80","846.50","607.15",3081521,"2,449,207,466.05",62114
"30-Jan-2020","EQ","805.60","807.95","784.00","804.15","794.50","791.35","792.84","846.50","607.15",2493688,"1,977,092,054.85",70718
"29-Jan-2020","EQ","796.90","807.20","793.55","794.25","803.75","804.15","802.33","846.50","607.15",2565136,"2,058,091,994.60",122141
"28-Jan-2020","EQ","792.50","795.75","784.60","791.50","794.70","794.25","791.36","846.50","607.15",1506685,"1,192,332,300.20",61577
"27-Jan-2020","EQ","786.00","796.25","779.65","787.30","792.10","791.50","790.45","846.50","607.15",1175606,"929,252,238.20",26671
"24-Jan-2020","EQ","765.10","788.75","763.30","768.95","786.90","787.30","777.05","846.50","607.15",2364265,"1,837,162,288.25",76417
"23-Jan-2020","EQ","777.25","780.45","766.90","778.75","769.50","768.95","771.39","846.50","607.15",2018777,"1,557,260,996.85",82067
"22-Jan-2020","EQ","780.00","790.45","776.20","778.90","778.55","778.75","781.75","846.50","607.15",1192201,"932,006,704.35",42351
"21-Jan-2020","EQ","777.25","783.40","775.00","778.20","779.50","778.90","779.20","846.50","607.15",976954,"761,243,503.15",54605
"20-Jan-2020","EQ","778.50","785.45","774.55","778.45","780.00","778.20","779.94","846.50","607.15",1620105,"1,263,588,653.90",52213
"17-Jan-2020","EQ","783.50","786.75","775.50","782.85","778.05","778.45","780.14","846.50","607.15",989312,"771,805,387.35",49622
"16-Jan-2020","EQ","793.00","795.70","781.10","795.15","784.00","782.85","785.33","846.50","607.15",1110008,"871,717,406.85",53657
"15-Jan-2020","EQ","796.15","803.65","788.50","796.25","791.60","795.15","796.05","846.50","607.15",1759644,"1,400,763,787.10",44354
"14-Jan-2020","EQ","785.85","797.80","783.70","785.85","796.30","796.25","790.88","846.50","607.15",1628535,"1,287,971,903.60",53736
