"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","910.00","926.90","893.10","912.60","905.95","906.05","913.68","1,389.95","720.90",4693092,"4,287,992,101.55",118616
"23-Apr-2020","EQ","922.25","935.50","905.00","951.40","915.90","912.60","919.07","1,389.95","720.90",7009198,"6,441,940,091.60",219098
"22-Apr-2020","EQ","936.70","955.25","922.55","936.70","953.85","951.40","941.10","1,389.95","720.90",2779272,"2,615,585,062.10",103594
"21-Apr-2020","EQ","958.00","962.20","932.45","975.50","936.40","936.70","944.37","1,389.95","720.90",3717573,"3,510,754,529.10",148398
"20-Apr-2020","EQ","975.50","982.20","957.00","975.50","974.45","975.50","970.92","1,389.95","720.90",2557331,"2,482,952,283.85",86365
"17-Apr-2020","EQ","1,001.10","1,017.70","956.30","985.25","978.00","975.50","978.50","1,389.95","720.90",5761685,"5,637,797,457.10",198539
"16-Apr-2020","EQ","929.00","999.00","915.00","952.05","992.00","985.25","956.72","1,389.95","720.90",6251881,"5,981,313,952.30",177638
"15-Apr-2020","EQ","990.00","990.00","937.20","966.85","939.00","952.05","968.57","1,389.95","720.90",5502744,"5,329,815,108.80",220952
"13-Apr-2020","EQ","1,014.50","1,014.50","943.20","1,013.85","966.45","966.85","965.91","1,389.95","720.90",4399276,"4,249,321,290.50",160561
"09-Apr-2020","EQ","931.65","1,044.00","917.35","913.45","1,016.60","1,013.85","973.65","1,389.95","720.90",8532888,"8,308,070,774.10",242979
"08-Apr-2020","EQ","935.00","966.40","893.40","947.45","912.00","913.45","927.90","1,389.95","720.90",5506041,"5,109,064,500.90",187113
"07-Apr-2020","EQ","900.10","954.95","892.30","862.80","940.00","947.45","927.77","1,389.95","720.90",4186589,"3,884,193,605.60",137680
"03-Apr-2020","EQ","930.00","930.05","855.95","936.05","870.00","862.80","884.64","1,389.95","720.90",4951957,"4,380,689,877.45",188938
"01-Apr-2020","EQ","929.70","950.00","902.00","933.70","934.90","936.05","919.67","1,389.95","720.90",2935941,"2,700,108,893.60",134267
"31-Mar-2020","EQ","967.00","971.70","923.75","943.65","935.00","933.70","944.29","1,389.95","720.90",3811980,"3,599,614,579.75",136845
"30-Mar-2020","EQ","861.00","959.00","861.00","937.05","951.65","943.65","923.90","1,389.95","720.90",2901443,"2,680,629,802.10",122396
"27-Mar-2020","EQ","960.00","965.00","896.00","928.30","940.00","937.05","933.55","1,389.95","720.90",2999839,"2,800,497,296.35",126638
"26-Mar-2020","EQ","895.00","947.80","872.30","880.80","937.00","928.30","912.12","1,389.95","720.90",3635282,"3,315,814,159.55",163897
"25-Mar-2020","EQ","799.00","897.70","784.80","816.10","881.90","880.80","837.36","1,389.95","720.90",3564864,"2,985,087,258.70",237409
"24-Mar-2020","EQ","805.25","857.85","720.90","800.95","828.00","816.10","792.11","1,389.95","720.90",5404961,"4,281,322,186.50",298325
"23-Mar-2020","EQ","839.65","841.05","771.25","904.90","779.65","800.95","806.34","1,389.95","771.25",4960949,"4,000,189,754.00",184527
"20-Mar-2020","EQ","906.10","934.00","866.00","903.50","905.00","904.90","898.55","1,389.95","839.75",4407659,"3,960,515,855.55",189761
"19-Mar-2020","EQ","879.95","924.40","839.75","930.75","902.00","903.50","888.36","1,389.95","839.75",4838553,"4,298,381,820.15",196393
"18-Mar-2020","EQ","1,028.00","1,028.00","921.00","1,001.00","927.85","930.75","944.16","1,389.95","921.00",5508581,"5,200,966,372.70",230234
"17-Mar-2020","EQ","1,005.00","1,038.00","977.80","1,011.35","1,006.75","1,001.00","1,011.90","1,389.95","946.05",2985174,"3,020,709,979.45",161370
"16-Mar-2020","EQ","1,049.95","1,049.95","983.00","1,084.35","1,008.00","1,011.35","1,013.13","1,389.95","946.05",3443945,"3,489,176,561.10",151290
"13-Mar-2020","EQ","1,055.60","1,134.70","946.05","1,076.75","1,085.00","1,084.35","1,059.81","1,389.95","946.05",4337351,"4,596,748,334.80",155540
"12-Mar-2020","EQ","1,150.00","1,153.95","1,064.65","1,187.65","1,090.00","1,076.75","1,093.38","1,389.95","998.00",3609158,"3,946,165,098.50",144034
"11-Mar-2020","EQ","1,197.95","1,213.35","1,177.55","1,203.45","1,185.95","1,187.65","1,189.93","1,389.95","998.00",2314388,"2,753,952,055.10",101381
"09-Mar-2020","EQ","1,225.00","1,241.85","1,175.00","1,242.60","1,208.00","1,203.45","1,204.74","1,389.95","998.00",2285790,"2,753,789,238.00",96508
"06-Mar-2020","EQ","1,229.00","1,246.95","1,219.70","1,259.15","1,241.90","1,242.60","1,235.55","1,389.95","998.00",1678642,"2,074,039,141.60",81570
"05-Mar-2020","EQ","1,253.50","1,265.15","1,242.20","1,250.95","1,255.50","1,259.15","1,256.04","1,389.95","998.00",1555538,"1,953,813,106.05",85503
"04-Mar-2020","EQ","1,251.95","1,265.65","1,217.30","1,247.00","1,252.90","1,250.95","1,239.73","1,389.95","998.00",3007393,"3,728,343,836.75",119632
"03-Mar-2020","EQ","1,248.20","1,272.00","1,225.00","1,244.15","1,250.00","1,247.00","1,242.58","1,389.95","998.00",2660100,"3,305,389,926.90",123087
