"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","179.95","180.80","177.15","180.90","178.20","177.75","178.12","301.60","159.40",4641140,"826,673,995.70",50379
"23-Apr-2020","EQ","179.40","182.60","177.10","178.55","181.00","180.90","180.23","301.60","159.40",5555420,"1,001,236,515.50",54314
"22-Apr-2020","EQ","177.00","179.50","175.05","178.05","178.30","178.55","177.59","301.60","159.40",5311640,"943,280,894.55",62150
"21-Apr-2020","EQ","179.00","179.90","173.80","181.10","178.30","178.05","176.98","301.60","159.40",9043319,"1,600,479,912.50",75722
"20-Apr-2020","EQ","189.00","189.00","180.15","187.00","180.55","181.10","183.33","301.60","159.40",8101663,"1,485,310,274.95",79381
"17-Apr-2020","EQ","192.50","193.75","185.55","187.85","187.20","187.00","188.26","301.60","159.40",6606453,"1,243,751,579.15",96023
"16-Apr-2020","EQ","180.00","189.75","180.00","186.55","189.00","187.85","185.90","301.60","159.40",21690456,"4,032,251,772.20",150354
"15-Apr-2020","EQ","190.05","193.60","185.80","189.20","186.45","186.55","189.46","301.60","159.40",11326600,"2,145,934,350.40",112441
"13-Apr-2020","EQ","198.00","198.00","182.90","196.70","189.60","189.20","189.05","301.60","159.40",6193223,"1,170,801,308.15",69489
"09-Apr-2020","EQ","198.40","202.95","195.05","192.90","196.60","196.70","197.60","301.60","159.40",3465831,"684,832,185.95",36684
"08-Apr-2020","EQ","191.50","200.00","188.80","191.90","193.00","192.90","194.98","301.60","159.40",5137654,"1,001,741,684.35",53517
"07-Apr-2020","EQ","188.25","192.70","183.05","180.00","191.95","191.90","189.50","301.60","159.40",4781444,"906,101,475.25",56566
"03-Apr-2020","EQ","188.00","189.60","177.75","189.50","180.15","180.00","181.23","301.60","159.40",6573737,"1,191,349,404.15",79843
"01-Apr-2020","EQ","195.70","195.70","187.00","196.70","188.65","189.50","190.06","301.60","159.40",4937836,"938,489,498.35",63336
"31-Mar-2020","EQ","187.00","199.80","185.65","184.15","196.10","196.70","194.94","301.60","159.40",5307678,"1,034,656,565.35",62061
"30-Mar-2020","EQ","181.10","187.40","179.35","183.50","185.25","184.15","184.50","301.60","159.40",3667803,"676,692,029.25",47445
"27-Mar-2020","EQ","183.15","189.50","181.50","182.60","184.65","183.50","185.15","301.60","159.40",6767560,"1,253,023,967.65",40065
"26-Mar-2020","EQ","176.95","186.80","172.50","174.65","180.60","182.60","180.17","301.60","159.40",5124357,"923,251,037.30",46356
"25-Mar-2020","EQ","177.40","188.00","170.20","176.35","172.50","174.65","175.95","301.60","159.40",6728276,"1,183,853,668.20",81762
"24-Mar-2020","EQ","168.50","181.75","168.05","170.15","178.25","176.35","176.78","301.60","159.40",6037867,"1,067,378,793.50",78461
"23-Mar-2020","EQ","165.00","177.00","165.00","179.20","171.50","170.15","173.00","301.60","159.40",5360393,"927,343,313.45",56816
"20-Mar-2020","EQ","163.10","185.80","162.50","162.35","178.00","179.20","176.72","301.60","159.40",10160070,"1,795,536,401.65",86219
"19-Mar-2020","EQ","165.00","171.35","159.40","169.95","161.80","162.35","166.44","301.60","159.40",5990642,"997,069,281.45",69150
"18-Mar-2020","EQ","176.70","178.50","168.50","173.10","171.90","169.95","173.17","301.60","168.50",6367196,"1,102,614,407.80",65169
"17-Mar-2020","EQ","178.55","185.55","170.75","179.75","173.20","173.10","179.30","301.60","169.25",6087886,"1,091,565,835.05",53650
"16-Mar-2020","EQ","193.95","193.95","178.55","197.40","180.00","179.75","184.72","301.60","169.25",5600578,"1,034,524,025.30",91089
"13-Mar-2020","EQ","199.00","204.45","169.25","199.10","199.00","197.40","192.96","301.60","169.25",6521699,"1,258,410,025.25",76155
"12-Mar-2020","EQ","204.00","206.95","197.50","213.10","200.00","199.10","202.82","301.60","197.50",5382005,"1,091,585,740.50",63340
"11-Mar-2020","EQ","203.70","214.40","203.70","214.40","212.95","213.10","211.60","301.60","203.70",6135166,"1,298,193,543.40",73294
"09-Mar-2020","EQ","220.20","221.00","213.00","223.55","215.00","214.40","215.27","301.60","213.00",8731114,"1,879,529,836.90",67373
"06-Mar-2020","EQ","225.00","226.00","222.55","229.70","223.25","223.55","224.18","374.65","218.40",2934283,"657,818,198.60",30480
"05-Mar-2020","EQ","229.05","233.90","228.65","228.85","230.30","229.70","231.29","374.65","218.40",2970778,"687,112,891.25",42428
"04-Mar-2020","EQ","224.90","229.75","222.45","223.70","228.90","228.85","225.53","374.65","218.40",4518178,"1,018,974,224.15",81745
"03-Mar-2020","EQ","224.00","225.80","220.60","220.80","223.25","223.70","223.10","374.65","218.40",5173113,"1,154,103,726.05",41834
"02-Mar-2020","EQ","225.80","227.00","218.40","221.45","220.65","220.80","223.58","374.65","218.40",5766175,"1,289,195,929.00",65848
"28-Feb-2020","EQ","228.50","229.50","219.70","231.60","222.40","221.45","223.36","388.95","219.70",5637309,"1,259,175,651.25",75674
"27-Feb-2020","EQ","238.95","238.95","230.50","239.90","231.45","231.60","233.24","388.95","230.50",4866814,"1,135,130,613.30",63615
"26-Feb-2020","EQ","243.05","243.45","238.40","244.10","239.95","239.90","239.99","388.95","232.20",3994194,"958,562,328.10",35163
"25-Feb-2020","EQ","244.15","246.65","242.45","244.20","244.00","244.10","244.35","388.95","232.20",2529786,"618,142,911.85",23406
"24-Feb-2020","EQ","245.00","247.80","242.40","245.70","244.05","244.20","245.45","388.95","232.20",3521975,"864,471,815.85",38370
"20-Feb-2020","EQ","248.00","248.55","245.10","247.60","245.85","245.70","246.71","388.95","232.20",2120807,"523,234,630.90",24362
"19-Feb-2020","EQ","244.50","248.35","244.50","244.05","247.95","247.60","246.89","388.95","232.20",1785384,"440,789,981.60",24285
"18-Feb-2020","EQ","243.75","244.85","241.25","243.80","244.00","244.05","242.94","388.95","232.20",1252637,"304,310,138.90",16527
"17-Feb-2020","EQ","242.90","245.00","241.95","242.90","243.85","243.80","243.37","388.95","232.20",1017778,"247,693,012.90",12576
