"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","28.05","28.15","26.30","28.30","26.75","26.60","26.95","254.40","5.65",34135568,"920,113,042.85",123302
"23-Apr-2020","EQ","29.60","29.90","27.85","29.60","28.30","28.30","28.92","254.40","5.65",33488476,"968,589,674.65",145896
"22-Apr-2020","EQ","29.00","30.30","28.80","29.65","29.60","29.60","29.48","254.40","5.65",35026262,"1,032,738,106.80",156808
"21-Apr-2020","EQ","29.40","30.45","27.55","29.45","29.55","29.65","29.48","254.40","5.65",76224557,"2,247,227,870.00",239510
"20-Apr-2020","EQ","25.60","30.10","25.10","25.10","29.75","29.45","28.70","254.40","5.65",114977373,"3,300,280,512.65",332695
"17-Apr-2020","EQ","25.10","25.50","24.70","24.60","25.10","25.10","25.03","269.90","5.65",26605391,"665,929,032.05",137991
"16-Apr-2020","EQ","24.30","24.95","24.05","24.50","24.70","24.60","24.56","269.90","5.65",18765964,"460,804,555.00",127321
"15-Apr-2020","EQ","24.10","25.95","23.85","24.10","24.65","24.50","24.85","269.90","5.65",39619400,"984,499,253.70",152405
"13-Apr-2020","EQ","25.00","25.00","23.55","24.90","24.15","24.10","24.08","269.90","5.65",26107072,"628,773,400.90",135252
"09-Apr-2020","EQ","25.00","25.30","24.50","24.75","24.95","24.90","24.94","275.45","5.65",26334529,"656,831,381.90",122722
"08-Apr-2020","EQ","24.50","25.50","23.30","24.55","24.85","24.75","24.76","275.45","5.65",37250348,"922,218,372.35",182575
"07-Apr-2020","EQ","25.40","25.40","23.80","24.10","24.60","24.55","24.41","275.45","5.65",35071970,"856,207,341.45",171680
"03-Apr-2020","EQ","24.50","24.95","22.80","23.95","24.20","24.10","24.03","286.00","5.65",45326980,"1,089,410,669.15",169289
"01-Apr-2020","EQ","22.00","24.65","20.25","22.45","24.00","23.95","23.28","286.00","5.65",90387201,"2,103,790,054.05",272183
"31-Mar-2020","EQ","25.55","25.55","22.05","24.90","22.30","22.45","22.99","286.00","5.65",75272601,"1,730,516,741.60",278607
"30-Mar-2020","EQ","27.65","27.70","24.55","26.35","24.90","24.90","25.09","286.00","5.65",54983098,"1,379,309,889.55",211710
"27-Mar-2020","EQ","29.05","33.25","26.00","26.60","26.65","26.35","28.29","286.00","5.65",118572207,"3,354,572,821.60",529306
"26-Mar-2020","EQ","29.35","31.00","25.20","29.60","25.20","26.60","28.56","286.00","5.65",119575530,"3,415,465,246.95",426188
"25-Mar-2020","EQ","35.30","35.50","28.50","35.00","29.45","29.60","30.54","286.00","5.65",95160537,"2,905,951,408.50",320674
