"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","150.80","152.85","143.00","157.55","145.70","145.15","146.87","439.50","114.00",25867426,"3,799,209,845.05",198547
"23-Apr-2020","EQ","157.20","173.40","155.55","151.85","157.55","157.55","162.90","439.50","114.00",69208270,"11,273,995,662.30",489341
"22-Apr-2020","EQ","130.15","155.10","130.10","129.25","155.10","151.85","143.61","439.50","114.00",48546692,"6,971,944,872.25",338663
"21-Apr-2020","EQ","137.80","138.00","128.60","140.65","129.30","129.25","132.09","439.50","114.00",14998851,"1,981,196,251.00",142649
"20-Apr-2020","EQ","142.00","149.75","137.60","140.15","140.00","140.65","145.01","439.50","114.00",23316257,"3,381,050,366.80",187881
"17-Apr-2020","EQ","139.05","142.70","137.10","135.55","140.20","140.15","139.63","439.50","114.00",15287491,"2,134,590,936.90",102822
"16-Apr-2020","EQ","133.50","138.95","131.50","133.75","136.10","135.55","136.49","439.50","114.00",18112295,"2,472,148,983.50",107332
"15-Apr-2020","EQ","143.00","143.00","129.10","137.10","134.30","133.75","135.07","439.50","114.00",26563975,"3,587,903,885.15",276574
"13-Apr-2020","EQ","143.00","143.00","128.00","149.85","137.20","137.10","133.49","439.50","114.00",27106893,"3,618,490,536.35",218826
"09-Apr-2020","EQ","145.10","151.30","145.00","143.15","149.70","149.85","149.13","439.50","114.00",8715706,"1,299,731,993.50",68797
"08-Apr-2020","EQ","138.00","148.15","135.25","140.90","143.50","143.15","143.07","439.50","114.00",10046602,"1,437,327,405.45",80786
"07-Apr-2020","EQ","129.00","143.00","126.65","124.35","139.80","140.90","134.27","439.50","114.00",11487045,"1,542,354,042.40",93935
"03-Apr-2020","EQ","123.00","125.95","119.05","120.90","124.40","124.35","122.80","444.70","114.00",7888049,"968,617,322.25",71961
"01-Apr-2020","EQ","124.00","126.75","120.00","123.95","121.00","120.90","122.77","444.70","114.00",6571551,"806,773,373.40",68773
"31-Mar-2020","EQ","130.50","130.65","123.00","125.65","123.75","123.95","126.35","444.70","114.00",8733424,"1,103,440,484.50",71992
"30-Mar-2020","EQ","122.30","135.00","122.30","128.05","125.55","125.65","128.87","444.70","114.00",8707583,"1,122,185,910.75",89274
"27-Mar-2020","EQ","132.00","138.65","127.00","128.75","128.40","128.05","131.83","453.80","114.00",8765500,"1,155,526,802.45",83329
"26-Mar-2020","EQ","125.05","133.15","119.00","125.50","128.00","128.75","128.14","453.80","114.00",12044426,"1,543,421,568.95",103392
"25-Mar-2020","EQ","119.30","129.75","114.00","119.15","124.00","125.50","121.02","453.80","114.00",12591027,"1,523,705,102.35",101940
"24-Mar-2020","EQ","120.80","131.00","117.15","122.00","119.60","119.15","121.79","453.80","115.95",13402429,"1,632,307,660.45",120676
"23-Mar-2020","EQ","133.00","144.70","115.95","144.90","115.95","122.00","129.30","453.80","115.95",9695699,"1,253,629,106.25",91991
"20-Mar-2020","EQ","144.20","153.30","136.20","141.20","144.00","144.90","144.98","467.80","131.60",18349571,"2,660,234,295.60",147960
"19-Mar-2020","EQ","149.00","158.15","138.65","164.10","141.45","141.20","144.68","467.80","131.60",19440170,"2,812,596,361.45",151466
"18-Mar-2020","EQ","135.00","185.00","135.00","133.10","169.00","164.10","149.56","467.80","131.60",40664776,"6,081,899,504.40",325577
"17-Mar-2020","EQ","162.50","169.20","131.60","166.35","133.00","133.10","147.27","467.80","131.60",36923083,"5,437,711,358.25",295653
"16-Mar-2020","EQ","175.00","177.95","162.40","182.80","166.20","166.35","169.57","467.80","155.15",9694803,"1,643,922,445.85",91476
"13-Mar-2020","EQ","177.00","197.50","155.15","190.65","182.70","182.80","183.51","472.65","155.15",12852019,"2,358,515,071.95",113163
"12-Mar-2020","EQ","191.50","199.80","188.55","209.50","190.80","190.65","193.97","472.65","188.00",14235510,"2,761,327,706.35",112785
"11-Mar-2020","EQ","190.00","213.85","188.00","194.45","209.00","209.50","207.12","472.65","188.00",27936848,"5,786,207,634.20",204288
"09-Mar-2020","EQ","215.95","215.95","190.30","221.15","193.00","194.45","199.01","472.65","190.30",20444187,"4,068,663,945.00",145622
"06-Mar-2020","EQ","228.90","230.80","216.55","238.15","220.80","221.15","223.09","487.30","199.15",11477990,"2,560,600,381.65",99012
"05-Mar-2020","EQ","251.75","254.25","235.65","251.75","237.70","238.15","240.10","487.30","199.15",13761306,"3,304,030,912.20",102846
"04-Mar-2020","EQ","248.05","254.45","243.90","251.10","248.65","251.75","249.66","487.30","199.15",12369910,"3,088,285,152.85",89616
